ref_year,provider_code,code_year,provider_name,tab1_academic_FTE,tab2_academic_FTE,tab3_senior_FTE,tab3_senior_headcount_mod,tab3_senior_headcount
2017,2241,2241-2017,University of Canberra,499.93,405.82,153.1,165,165
2017,2246,2246-2017,Batchelor Institute of Indigenous Tertiary Education,14.95,14.95,1.45,1.45,<5
2017,2252,2252-2017,Avondale College of Higher Education,90.09,65.15,11,11,11
2017,3001,3001-2017,Charles Darwin University,345.24,282.35,63.52,76,76
2017,3003,3003-2017,Bond University,387.33,261.71,112.84,122,122
2017,3004,3004-2017,Western Sydney University,1615.68,1052.9,323.8,347,347
2017,3005,3005-2017,Charles Sturt University,1033.58,838.11,153.31,184,184
2017,3006,3006-2017,Australian Catholic University,1186.09,743.82,195.1,239,239
2017,3007,3007-2017,Victoria University,783.75,603.69,146.97,165,165
2017,3010,3010-2017,The University of Adelaide,1734.75,1481.41,466.92,505,505
2017,3013,3013-2017,University of New South Wales,3297.31,2674.23,853.03,1885,1885
2017,3014,3014-2017,The University of Newcastle,1378.2,1096.42,329.88,356,356
2017,3016,3016-2017,University of Technology Sydney,1736.84,1225.39,418.09,457,457
2017,3019,3019-2017,The University of Queensland,3217.26,2766.4,785.02,846,846
2017,3020,3020-2017,La Trobe University,1435.42,1113.35,251.22,282,282
2017,3025,3025-2017,Macquarie University,1709.44,1201.74,390.71,422,422
2017,3027,3027-2017,University of South Australia,1473.41,1122.13,239.83,262,262
2017,3029,3029-2017,Flinders University,1166.95,830.76,268.5,293,293
2017,3030,3030-2017,Deakin University,2204.7,1691.8,399.85,429,429
2017,3032,3032-2017,Griffith University,1879.7,1422.65,442.9,464,464
2017,3033,3033-2017,The Australian National University,1900.39,1592.99,599.88,629,629
2017,3034,3034-2017,RMIT University,2009.18,1403.83,392.25,411,411
2017,3035,3035-2017,Monash University,3690.37,2919.96,821.46,924,924
2017,3036,3036-2017,The University of Melbourne,4211.78,3464.08,1013.31,1139,1139
2017,3038,3038-2017,Southern Cross University,459.58,311.2,73.3,77,77
2017,3039,3039-2017,The University of New England,587.18,484.13,133.7,143,143
2017,3040,3040-2017,The University of Sydney,3914.6,2943.09,1094.58,1188,1188
2017,3042,3042-2017,Queensland University of Technology,2110.12,1477.2,455.46,932,932
2017,3043,3043-2017,University of the Sunshine Coast,544.82,389.53,89.1,96,96
2017,3044,3044-2017,The University of Notre Dame Australia,429.2,339.85,118.75,175,175
2017,3045,3045-2017,University of Tasmania,1295.38,1110.46,244.15,258,258
2017,4331,4331-2017,University of Divinity,119.33,107.43,16.8,39,39
2017,4449,4449-2017,Torrens University Australia,862.93,110.48,7.68,9,9
