code_year,prv,provider_name,ref_year,type,TEQSA_type,ownership,profit,affiliation,affil_status,eftsl_sum,primary_bfoe,primary_bfoe_prop,bfoe_entropy,bfoe_gini_impurity,postgrad_prop,int_prop,sessional_prop,senior_prop,ssr_all,ssr_salaried,success_dom,success_int,success_all,attrition_dom,attrition_int,attrition_all
3042-2017,PRV12079,Queensland University of Technology,2017,university,university,public,not_for_profit,ATN,former,35212.5,mge_com,0.235,2.987,0.859,0.131,0.158,0.3,0.216,16.687,23.837,89.06,90.4,89.27,12.17,8.06,11.5
3034-2017,PRV12145,Royal Melbourne Institute of Technology,2017,university,university,public,not_for_profit,ATN,current,37532.375,mge_com,0.278,2.951,0.846,0.195,0.294,0.301,0.195,18.68,26.736,90.17,92.49,90.85,12.61,7.17,10.99
3038-2017,PRV12043,Southern Cross University,2017,university,university,public,not_for_profit,RUN,current,9089.0,mge_com,0.282,2.653,0.81,0.173,0.206,0.323,0.159,19.777,29.206,79.66,79.29,79.59,24.9,34.49,26.74
2177-2017,PRV12148,Swinburne University of Technology,2017,university,university,public,not_for_profit,non_aligned,current,22081.75,mge_com,0.233,2.804,0.841,0.139,0.177,0.484,0.151,16.183,31.359,82.56,88.18,83.55,23.57,15.79,22.42
3010-2017,PRV12105,The University of Adelaide,2017,university,university,public,not_for_profit,Go8,current,19173.638,soc_cult,0.195,2.964,0.851,0.174,0.279,0.146,0.269,11.053,12.943,89.97,92.01,90.54,11.63,4.49,9.68
3036-2017,PRV12150,The University of Melbourne,2017,university,university,public,not_for_profit,Go8,current,46395.476,mge_com,0.229,2.929,0.841,0.45,0.395,0.178,0.241,11.016,13.393,94.27,93.92,94.13,6.82,3.02,5.6
3044-2017,PRV12170,The University of Notre Dame Australia,2017,university,university,private,not_for_profit,non_aligned,current,8278.967,health,0.399,2.069,0.719,0.162,0.01,0.208,0.277,19.289,24.361,94.41,93.93,94.4,10.93,5.71,10.87
3019-2017,PRV12080,The University of Queensland,2017,university,university,public,not_for_profit,Go8,current,37422.312,mge_com,0.223,2.838,0.835,0.227,0.293,0.14,0.244,11.632,13.527,90.29,93.6,91.26,10.95,4.08,8.91
3040-2017,PRV12057,The University of Sydney,2017,university,university,public,not_for_profit,Go8,current,45433.376,mge_com,0.227,2.872,0.839,0.346,0.374,0.248,0.28,11.606,15.437,92.35,92.07,92.25,9.22,4.03,7.27
1055-2017,PRV12169,The University of Western Australia,2017,university,university,public,not_for_profit,Go8,current,17682.375,nat_phys_sci,0.355,2.494,0.778,0.342,0.209,0.087,0.302,11.754,12.873,90.78,88.27,90.25,9.18,8.24,9.03
5555-2017,PRV12209,Torrens University Australia Ltd,2017,university,university,private,for_profit,non_aligned,current,4852.478,mge_com,0.552,1.761,0.618,0.261,0.439,0.367,0.229,14.545,22.983,73.1,81.16,76.37,23.85,23.88,23.86
2241-2017,PRV12003,University of Canberra,2017,university,university,public,not_for_profit,non_aligned,current,10522.125,mge_com,0.234,2.889,0.846,0.122,0.173,0.188,0.306,21.047,25.928,83.7,82.1,83.41,17.56,15.69,17.24
4331-2017,PRV12135,University of Divinity,2017,university,university,public,not_for_profit,non_aligned,current,639.523,soc_cult,1.0,0.0,0.0,0.519,0.159,0.1,0.141,5.359,5.953,89.24,98.24,90.68,25.52,17.65,24.83
3039-2017,PRV12054,University of New England,2017,university,university,public,not_for_profit,RUN,current,11459.375,soc_cult,0.359,2.577,0.787,0.23,0.058,0.176,0.228,19.516,23.67,76.72,89.54,77.47,23.55,10.6,23.05
3013-2017,PRV12055,University of New South Wales,2017,university,university,public,not_for_profit,Go8,current,40935.588,mge_com,0.287,2.783,0.824,0.25,0.351,0.189,0.259,12.415,15.307,93.84,92.3,93.3,7.93,4.08,6.91
3014-2017,PRV12056,University of Newcastle,2017,university,university,public,not_for_profit,IRU,former,19975.125,health,0.271,2.944,0.845,0.119,0.112,0.204,0.239,14.494,18.218,88.16,88.7,88.22,15.95,14.36,15.71
3027-2017,PRV12107,University of South Australia,2017,university,university,public,not_for_profit,ATN,current,20719.958,health,0.254,2.906,0.841,0.14,0.182,0.238,0.163,14.063,18.465,88.51,90.78,88.92,16.83,10.32,15.66
2201-2017,PRV12081,University of Southern Queensland,2017,university,university,public,not_for_profit,RUN,current,12239.962,education,0.207,2.78,0.842,0.179,0.122,0.281,0.173,15.246,21.196,77.7,80.9,78.09,26.53,19.59,25.84
3045-2017,PRV12110,University of Tasmania,2017,university,university,public,not_for_profit,non_aligned,current,18978.936,health,0.349,2.759,0.806,0.158,0.188,0.143,0.188,14.651,17.091,84.68,91.55,85.99,32.08,8.61,29.83
3016-2017,PRV12060,University of Technology Sydney,2017,university,university,public,not_for_profit,ATN,current,31225.542,mge_com,0.289,2.881,0.84,0.21,0.284,0.294,0.241,17.978,25.482,92.03,89.46,91.3,8.26,8.87,8.45
3043-2017,PRV12082,University of the Sunshine Coast,2017,university,university,public,not_for_profit,RUN,current,10253.0,health,0.288,2.791,0.825,0.134,0.208,0.285,0.164,18.819,26.321,84.83,87.0,85.29,19.17,23.08,20.04
1058-2017,PRV12062,University of Wollongong,2017,university,university,public,not_for_profit,non_aligned,current,18674.617,mge_com,0.215,2.889,0.852,0.192,0.242,0.212,0.246,14.674,18.62,88.89,85.34,88.04,12.62,19.84,14.63
3007-2017,PRV12152,Victoria University,2017,university,university,public,not_for_profit,non_aligned,current,15221.788,health,0.247,2.659,0.815,0.154,0.228,0.23,0.188,19.422,25.215,82.15,84.71,82.73,20.02,19.58,19.95
3004-2017,PRV12061,Western Sydney University,2017,university,university,public,not_for_profit,IRU,current,31161.362,soc_cult,0.29,2.813,0.824,0.122,0.118,0.348,0.2,19.287,29.596,82.41,86.17,82.85,15.18,15.7,15.22
2148-2013,PRV12052,The National Institute of Dramatic Art,2013,other,not_for_profit,private,not_for_profit,NUHEP,current,166.0,creat_art,1.0,0.0,0.0,0.084,0.024,0.359,0.107,20.668,32.262,99.38,100.0,99.39,5.17,33.33,6.56
2170-2013,PRV12133,Marcus Oldham College,2013,other,not_for_profit,private,not_for_profit,NUHEP,current,166.625,agri_env,1.0,0.0,0.0,0.02,0.0,0.299,0.146,19.835,28.283,100.0,100.0,100.0,1.33,12.486,1.33
2252-2013,PRV12015,Avondale College Limited,2013,faith_based,not_for_profit,private,not_for_profit,NUHEP,current,1038.0,education,0.526,1.812,0.634,0.04,0.063,0.296,0.083,22.764,32.338,91.51,89.04,91.37,15.61,16.67,15.66
2271-2013,PRV12011,"Australian Film, Television and Radio School",2013,government,not_for_profit,public,not_for_profit,NUHEP,current,210.5,creat_art,1.0,0.0,0.0,0.743,0.0,0.099,0.223,13.861,15.389,99.76,100.0,99.76,4.92,1.237,4.92
4333-2013,PRV12074,Christian Heritage College,2013,faith_based,not_for_profit,private,not_for_profit,NUHEP,current,489.95,soc_cult,0.462,1.325,0.571,0.158,0.013,0.535,0.0,29.614,63.666,81.08,92.16,81.23,28.3,60.0,28.73
4334-2013,PRV12103 ,Tabor College Incorporated,2013,faith_based,not_for_profit,private,not_for_profit,NUHEP,current,399.729,soc_cult,0.482,1.266,0.554,0.194,0.0,0.398,0.053,26.575,44.133,84.6,89.794,84.6,24.32,33.815,24.32
4335-2013,PRV12010,Australian College of Theology Limited,2013,faith_based,not_for_profit,private,not_for_profit,NUHEP,current,1436.469,soc_cult,1.0,0.0,0.0,0.458,0.05,0.222,0.084,19.158,24.625,91.67,87.82,91.48,26.24,27.27,26.28
4337-2013,PRV12149,Eastern College Australia Incorporated,2013,other,not_for_profit,private,not_for_profit,NUHEP,current,161.408,soc_cult,0.678,0.907,0.437,0.488,0.054,0.123,0.154,17.244,19.657,90.53,92.28,90.62,27.39,0.0,27.22
4338-2013,PRV12033,Moore Theological College Council,2013,faith_based,not_for_profit,private,not_for_profit,NUHEP,current,337.178,soc_cult,1.0,0.0,0.0,0.062,0.027,0.396,0.058,23.979,39.727,96.01,88.82,95.82,14.39,50.0,15.44
4340-2013,PRV12139,Monash College Pty Ltd,2013,pathway,not_for_profit,private,not_for_profit,NUHEP,current,1249.875,mge_com,0.739,1.238,0.431,0.0,0.949,0.532,0.185,19.312,41.294,75.89,80.12,79.91,16.67,12.75,13.01
4341-2013,PRV12127,Harvest Bible College Ltd,2013,faith_based,not_for_profit,private,not_for_profit,NUHEP,current,159.161,soc_cult,1.0,0.0,0.0,0.28,0.058,0.42,0.087,23.468,40.442,74.65,94.01,75.78,20.08,17.384,20.08
4343-2013,PRV12050,The Australian Institute of Music Limited,2013,other,not_for_profit,private,not_for_profit,NUHEP,current,955.465,creat_art,0.915,0.42,0.156,0.041,0.05,0.227,0.077,17.491,22.638,100.0,100.0,100.0,22.89,17.65,22.64
4346-2013,PRV12064,Excelsia College,2013,faith_based,not_for_profit,private,not_for_profit,NUHEP,current,325.281,creat_art,0.46,1.457,0.614,0.51,0.054,0.276,0.145,21.568,29.773,91.94,93.88,92.04,15.76,25.0,16.11
4347-2013,PRV12047,Australian College of Christian Studies Ltd,2013,faith_based,not_for_profit,private,not_for_profit,NUHEP,current,20.25,soc_cult,1.0,0.0,0.0,0.0,0.0,0.362,0.011,22.625,35.481,89.81,93.772,89.81,27.27,33.309,27.27
4355-2013,PRV12088,Adelaide College of Divinity Incorporated,2013,faith_based,not_for_profit,private,not_for_profit,NUHEP,current,35.377,soc_cult,1.0,0.0,0.0,0.189,0.0,0.307,0.0,20.812,30.029,89.76,93.695,89.76,34.21,35.483,34.21
4359-2013,PRV12048,The College of Law Limited,2013,other,not_for_profit,private,not_for_profit,NUHEP,current,1511.98,soc_cult,1.0,0.0,0.0,1.0,0.039,0.074,0.203,12.636,13.639,98.82,98.39,98.8,12.79,11.54,12.78
4360-2013,PRV12165,Perth Bible College Inc,2013,faith_based,not_for_profit,private,not_for_profit,NUHEP,current,41.609,soc_cult,1.0,0.0,0.0,0.019,0.09,0.292,0.0,17.902,25.28,89.88,100.0,90.86,50.0,44.44,48.84
4368-2013,PRV12017,Campion Institute Limited,2013,faith_based,not_for_profit,private,not_for_profit,NUHEP,current,93.875,soc_cult,1.0,0.0,0.0,0.0,0.045,0.635,0.0,29.56,80.898,93.44,91.18,93.34,14.29,100.0,16.67
4380-2013,PRV12022,INSEARCH Limited,2013,pathway,not_for_profit,private,not_for_profit,NUHEP,current,1258.37,mge_com,0.363,2.106,0.744,0.0,0.704,0.502,0.17,22.898,45.937,75.87,79.9,78.71,14.97,13.13,13.89
4382-2013,PRV12114,Australian Guild of Music Education Inc.,2013,other,not_for_profit,private,not_for_profit,NUHEP,current,15.471,creat_art,1.0,0.0,0.0,0.0,0.0,0.402,0.0,29.238,48.865,67.08,71.786,67.08,50.0,41.221,50.0
4388-2013,PRV12026,Australian Academy of Music and Performing Arts,2013,other,not_for_profit,private,not_for_profit,NUHEP,current,93.199,creat_art,0.989,0.086,0.021,0.011,0.133,0.471,0.067,23.388,44.249,83.48,92.65,84.69,16.67,40.0,19.51
4393-2013,PRV12136,The MIECAT Institute Inc.,2013,other,not_for_profit,private,not_for_profit,NUHEP,current,52.0,soc_cult,1.0,0.0,0.0,1.0,0.0,0.058,0.227,12.813,13.599,96.32,98.944,96.32,10.17,1.0,10.17
4395-2013,PRV12087,Adelaide Central School of Art Incorporated,2013,other,not_for_profit,private,not_for_profit,NUHEP,current,98.083,creat_art,1.0,0.0,0.0,0.0,0.0,0.313,0.013,19.636,28.575,97.6,100.0,97.6,26.0,33.164,26.0
4402-2013,PRV12155,Leo Cussen Institute,2013,other,not_for_profit,private,not_for_profit,NUHEP,current,407.0,soc_cult,1.0,0.0,0.0,1.0,0.076,0.073,0.257,12.142,13.1,99.38,100.0,99.41,2.78,0.0,2.55
4407-2013,PRV12006,Alphacrucis College Limited,2013,faith_based,not_for_profit,private,not_for_profit,NUHEP,current,328.25,soc_cult,0.922,0.466,0.146,0.246,0.297,0.313,0.111,18.859,27.433,85.69,88.83,86.65,24.08,18.626,24.08
4412-2013,PRV12034,Morling College Ltd,2013,faith_based,not_for_profit,private,not_for_profit,NUHEP,current,78.917,education,0.631,0.95,0.466,0.978,0.159,0.156,0.042,14.783,17.514,96.38,95.99,96.32,45.22,50.0,45.38
4419-2013,PRV12036,National Art School,2013,other,not_for_profit,private,not_for_profit,NUHEP,current,368.9,creat_art,1.0,0.0,0.0,0.0,0.008,0.343,0.0,20.941,31.864,94.08,100.0,94.12,29.742,32.361,27.687
7041-2013,PRV12177,Sydney Institute of Health Sciences Pty. Limited,2013,other,not_for_profit,private,not_for_profit,NUHEP,current,4.5,health,1.0,0.0,0.0,0.0,0.0,0.305,0.0,19.837,28.55,100.0,100.0,100.0,28.547,33.515,25.771
2148-2014,PRV12052,The National Institute of Dramatic Art,2014,other,not_for_profit,private,not_for_profit,NUHEP,current,174.0,creat_art,1.0,0.0,0.0,0.086,0.023,0.358,0.131,20.931,32.611,96.03,100.0,96.13,4.23,12.692,4.23
2170-2014,PRV12133,Marcus Oldham College,2014,other,not_for_profit,private,not_for_profit,NUHEP,current,164.125,agri_env,1.0,0.0,0.0,0.02,0.0,0.344,0.133,20.809,31.743,99.54,100.0,99.54,2.44,13.547,2.44
2252-2014,PRV12015,Avondale College Limited,2014,faith_based,not_for_profit,private,not_for_profit,NUHEP,current,984.375,education,0.506,1.798,0.638,0.074,0.052,0.332,0.092,23.189,34.724,90.05,91.57,90.12,17.41,26.92,17.93
2271-2014,PRV12011,"Australian Film, Television and Radio School",2014,government,not_for_profit,public,not_for_profit,NUHEP,current,206.0,creat_art,1.0,0.0,0.0,0.779,0.0,0.144,0.222,14.853,17.353,98.91,100.0,98.91,4.25,1.0,4.25
4332-2014,PRV12045,Sydney College of Divinity Ltd,2014,faith_based,not_for_profit,private,not_for_profit,NUHEP,current,496.5,soc_cult,1.0,0.0,0.0,0.256,0.195,0.347,0.085,20.583,31.515,90.26,89.38,90.09,20.0,22.5,20.25
4333-2014,PRV12074,Christian Heritage College,2014,faith_based,not_for_profit,private,not_for_profit,NUHEP,current,508.375,soc_cult,0.488,1.339,0.575,0.157,0.039,0.33,0.105,23.523,35.09,82.11,93.13,82.56,24.07,0.0,23.93
4334-2014,PRV12103 ,Tabor College Incorporated,2014,faith_based,not_for_profit,private,not_for_profit,NUHEP,current,360.874,soc_cult,0.535,1.172,0.527,0.175,0.0,0.423,0.026,26.575,46.031,85.54,90.65,85.54,29.77,36.859,29.77
