ref_year,provider_code,code_year,provider_name,citizenship,attrition_rate
2012,4388,4388-2013,Australian Academy of Music and Performing Arts,International,40
2012,4391,4391-2013,Eynesbury,International,18.96
2012,4394,4394-2013,William Angliss Institute of TAFE,International,18.77
2012,4396,4396-2013,LCI Melbourne,International,80
2012,4401,4401-2013,Whitehouse Institute of Design; Australia,International,40
2012,4402,4402-2013,Leo Cussen Institute,International,0
2012,4406,4406-2013,Canberra Institute of Technology,International,100
2012,4408,4408-2013,TAFE Queensland t/a TAFE Queensland - Brisbane,International,21.05
2012,4409,4409-2013,Universal Business School Sydney (UBSS),International,25.8
2012,4411,4411-2013,Stotts Colleges,International,41.18
2012,4412,4412-2013,Morling College,International,50
2012,4413,4413-2013,University College London,International,0
2012,4415,4415-2013,Top Education Institute,International,28.38
2012,4417,4417-2013,La Trobe Melbourne,International,18.29
2012,7014,7014-2013,Jazz Music Institute,International,0
2012,7075,7075-2013,TAFE NSW,International,18.42
2012,7116,7116-2013,Study Group Australia Pty Ltd,International,4.71
2013,1019,1019-2014,James Cook University,International,22.39
2013,1034,1034-2014,Murdoch University,International,12.61
2013,1055,1055-2014,The University of Western Australia,International,5.81
2013,1058,1058-2014,University of Wollongong,International,11.82
2013,2154,2154-2014,Federation University Australia,International,23.37
2013,2177,2177-2014,Swinburne University of Technology,International,10.68
2013,2200,2200-2014,CQUniversity,International,11.95
2013,2201,2201-2014,University of Southern Queensland,International,11.11
2013,2235,2235-2014,Edith Cowan University,International,11.64
2013,2236,2236-2014,Curtin University,International,8.9
2013,2241,2241-2014,University of Canberra,International,9.27
2013,2252,2252-2014,Avondale College of Higher Education,International,26.92
2013,3001,3001-2014,Charles Darwin University,International,17.68
2013,3003,3003-2014,Bond University,International,7.1
2013,3004,3004-2014,Western Sydney University,International,17.52
2013,3005,3005-2014,Charles Sturt University,International,12.03
2013,3006,3006-2014,Australian Catholic University,International,16.8
2013,3007,3007-2014,Victoria University,International,16.97
2013,3010,3010-2014,The University of Adelaide,International,4.42
2013,3013,3013-2014,University of New South Wales,International,5.72
2013,3014,3014-2014,The University of Newcastle,International,7.62
2013,3016,3016-2014,University of Technology Sydney,International,8.77
2013,3019,3019-2014,The University of Queensland,International,4.17
2013,3020,3020-2014,La Trobe University,International,12.33
2013,3025,3025-2014,Macquarie University,International,6.54
2013,3027,3027-2014,University of South Australia,International,5.48
2013,3029,3029-2014,Flinders University,International,7.14
2013,3030,3030-2014,Deakin University,International,8.55
2013,3032,3032-2014,Griffith University,International,7.41
2013,3033,3033-2014,The Australian National University,International,2.98
2013,3034,3034-2014,RMIT University,International,8.47
2013,3035,3035-2014,Monash University,International,4.77
2013,3036,3036-2014,The University of Melbourne,International,3.23
2013,3038,3038-2014,Southern Cross University,International,19.59
2013,3039,3039-2014,The University of New England,International,5.88
2013,3040,3040-2014,The University of Sydney,International,4.51
2013,3042,3042-2014,Queensland University of Technology,International,9.98
2013,3043,3043-2014,University of the Sunshine Coast,International,15.35
2013,3044,3044-2014,The University of Notre Dame Australia,International,8.51
2013,4331,4331-2014,University of Divinity,International,8.89
2013,4332,4332-2014,Sydney College of Divinity,International,22.5
2013,4333,4333-2014,Christian Heritage College,International,0
2013,4335,4335-2014,Australian College of Theology,International,25
2013,4336,4336-2014,Australian College of Applied Psychology,International,28.57
2013,4337,4337-2014,Eastern College Australia,International,21.05
2013,4338,4338-2014,Moore Theological College,International,33.33
2013,4339,4339-2014,Holmes Institute,International,31.97
2013,4340,4340-2014,Monash College,International,12.13
2013,4343,4343-2014,Australian Institute of Music,International,26.32
2013,4344,4344-2014,South Aust Institute of Business & Technology,International,22.27
2013,4346,4346-2014,Excelsia College,International,0
2013,4348,4348-2014,Deakin College,International,17.43
2013,4349,4349-2014,Sydney Institute of Business and Technology,International,12.13
2013,4350,4350-2014,Queensland Institute of Business and Technology,International,19.96
2013,4352,4352-2014,The Australian College of Physical Education,International,33.33
2013,4357,4357-2014,Blue Mountains Intl Hotel Management School,International,10.79
2013,4359,4359-2014,The College of Law,International,8.89
2013,4360,4360-2014,Perth Bible College,International,0
2013,4361,4361-2014,Endeavour College of Natural Health,International,28.57
2013,4362,4362-2014,International College of Hotel Management,International,6.98
2013,4363,4363-2014,Northern Melbourne Institute of TAFE,International,32.98
2013,4364,4364-2014,Edith Cowan College,International,18.25
2013,4365,4365-2014,Curtin College,International,19.39
2013,4366,4366-2014,Box Hill Institute,International,50
2013,4367,4367-2014,Melbourne Institute of Technology,International,22.45
2013,4368,4368-2014,Campion College,International,66.67
2013,4371,4371-2014,SAE Creative Media Institute,International,15.52
2013,4374,4374-2014,Carnegie Mellon University Australia,International,0.98
2013,4375,4375-2014,Think: Colleges Pty Ltd,International,17.07
2013,4377,4377-2014,UOW College,International,37.97
2013,4380,4380-2014,UTS:INSEARCH,International,17.27
2013,4381,4381-2014,"International College of Management, Sydney",International,13.07
2013,4383,4383-2014,Holmesglen Institute of TAFE,International,39.58
2013,4384,4384-2014,Kaplan Business School,International,29.84
2013,4385,4385-2014,Polytechnic West,International,28.21
2013,4386,4386-2014,Macleay College,International,0
2013,4387,4387-2014,Raffles College of Design and Commerce,International,20.36
2013,4388,4388-2014,Australian Academy of Music and Performing Arts,International,0
2013,4389,4389-2014,Cairnmillar Institute School,International,0
2013,4391,4391-2014,Eynesbury,International,19.29
2013,4394,4394-2014,William Angliss Institute of TAFE,International,12.78
2013,4396,4396-2014,LCI Melbourne,International,0
2013,4401,4401-2014,Whitehouse Institute of Design; Australia,International,66.67
2013,4402,4402-2014,Leo Cussen Institute,International,50
2013,4403,4403-2014,Harvest West Bible College Inc,International,0
2013,4406,4406-2014,Canberra Institute of Technology,International,0
2013,4407,4407-2014,Alphacrucis College,International,0
2013,4408,4408-2014,TAFE Queensland t/a TAFE Queensland - Brisbane,International,100
2013,4409,4409-2014,Universal Business School Sydney (UBSS),International,34.48
2013,4411,4411-2014,Stotts Colleges,International,40.91
2013,4412,4412-2014,Morling College,International,25
2013,4413,4413-2014,University College London,International,0
2013,4414,4414-2014,Chifley Business School,International,0
2013,4415,4415-2014,Top Education Institute,International,33.61
2013,4417,4417-2014,La Trobe Melbourne,International,35.15
2013,4418,4418-2014,Australian School of Management,International,7.14
2013,4420,4420-2014,Kent Institute Australia,International,29.49
2013,4421,4421-2014,Le Cordon Bleu Australia,International,8.72
2013,4423,4423-2014,Tabor College Perth,International,33.33
2013,4424,4424-2014,Kaplan Higher Education,International,40
2013,4425,4425-2014,Australian Institute of Business,International,5.56
2013,4426,4426-2014,John Paul ll Institute for Marriage and Family,International,0
2013,4428,4428-2014,Nan Tien Institute,International,0
2013,4450,4450-2014,TAFE Queensland,International,2.22
2013,7075,7075-2014,TAFE NSW,International,18.18
2013,7116,7116-2014,Study Group Australia Pty Ltd,International,28
2013,7338,7338-2014,TAFE SA,International,55.56
2014,1019,1019-2015,James Cook University,International,23.28
2014,1034,1034-2015,Murdoch University,International,14.12
2014,1055,1055-2015,The University of Western Australia,International,5.96
2014,1058,1058-2015,University of Wollongong,International,10.22
2014,2148,2148-2015,The National Institute of Dramatic Art,International,0
2014,2154,2154-2015,Federation University Australia,International,20.95
2014,2177,2177-2015,Swinburne University of Technology,International,14.15
2014,2200,2200-2015,CQUniversity,International,12.85
2014,2201,2201-2015,University of Southern Queensland,International,11.4
2014,2235,2235-2015,Edith Cowan University,International,12.73
2014,2236,2236-2015,Curtin University,International,11.38
2014,2241,2241-2015,University of Canberra,International,13.52
2014,2252,2252-2015,Avondale College of Higher Education,International,0
2014,3001,3001-2015,Charles Darwin University,International,22.75
2014,3003,3003-2015,Bond University,International,6.07
2014,3004,3004-2015,Western Sydney University,International,17.19
2014,3005,3005-2015,Charles Sturt University,International,10.17
2014,3006,3006-2015,Australian Catholic University,International,11.81
2014,3007,3007-2015,Victoria University,International,27.77
2014,3010,3010-2015,The University of Adelaide,International,4.7
2014,3013,3013-2015,University of New South Wales,International,4.09
2014,3014,3014-2015,The University of Newcastle,International,8.47
2014,3016,3016-2015,University of Technology Sydney,International,8.76
2014,3019,3019-2015,The University of Queensland,International,4.3
2014,3020,3020-2015,La Trobe University,International,15.51
2014,3025,3025-2015,Macquarie University,International,7.46
2014,3027,3027-2015,University of South Australia,International,8.05
2014,3029,3029-2015,Flinders University,International,7.12
2014,3030,3030-2015,Deakin University,International,9.27
2014,3032,3032-2015,Griffith University,International,10.41
2014,3033,3033-2015,The Australian National University,International,3.81
2014,3034,3034-2015,RMIT University,International,9.28
2014,3035,3035-2015,Monash University,International,4.94
2014,3036,3036-2015,The University of Melbourne,International,3.3
2014,3038,3038-2015,Southern Cross University,International,28.12
2014,3039,3039-2015,The University of New England,International,5.12
2014,3040,3040-2015,The University of Sydney,International,4.24
2014,3042,3042-2015,Queensland University of Technology,International,11.49
2014,3043,3043-2015,University of the Sunshine Coast,International,17.77
2014,3044,3044-2015,The University of Notre Dame Australia,International,17.86
2014,3045,3045-2015,University of Tasmania,International,3.14
2014,4331,4331-2015,University of Divinity,International,4.55
2014,4332,4332-2015,Sydney College of Divinity,International,18.97
2014,4333,4333-2015,Christian Heritage College,International,85
2014,4335,4335-2015,Australian College of Theology,International,19.51
2014,4336,4336-2015,Australian College of Applied Psychology,International,31.25
2014,4337,4337-2015,Eastern College Australia,International,27.27
2014,4338,4338-2015,Moore Theological College,International,0
2014,4339,4339-2015,Holmes Institute,International,33.58
2014,4340,4340-2015,Monash College,International,10.38
2014,4341,4341-2015,Harvest Bible College,International,0
2014,4343,4343-2015,Australian Institute of Music,International,17.5
2014,4344,4344-2015,South Aust Institute of Business & Technology,International,30.01
2014,4346,4346-2015,Excelsia College,International,33.33
2014,4347,4347-2015,Tabor College NSW,International,100
2014,4348,4348-2015,Deakin College,International,29.45
2014,4349,4349-2015,Sydney Institute of Business and Technology,International,12
2014,4350,4350-2015,Queensland Institute of Business and Technology,International,20.21
2014,4352,4352-2015,The Australian College of Physical Education,International,55.56
2014,4357,4357-2015,Blue Mountains Intl Hotel Management School,International,10.26
2014,4359,4359-2015,The College of Law,International,21.31
2014,4360,4360-2015,Perth Bible College,International,0
2014,4361,4361-2015,Endeavour College of Natural Health,International,25
2014,4362,4362-2015,International College of Hotel Management,International,21.74
2014,4363,4363-2015,Northern Melbourne Institute of TAFE,International,34.29
2014,4364,4364-2015,Edith Cowan College,International,23.21
2014,4365,4365-2015,Curtin College,International,9.32
2014,4366,4366-2015,Box Hill Institute,International,37.7
2014,4367,4367-2015,Melbourne Institute of Technology,International,23.94
2014,4371,4371-2015,SAE Creative Media Institute,International,28.41
2014,4374,4374-2015,Carnegie Mellon University Australia,International,0.96
2014,4375,4375-2015,Think: Colleges Pty Ltd,International,93.46
2014,4377,4377-2015,UOW College,International,17.14
2014,4378,4378-2015,JMC Academy,International,0
2014,4380,4380-2015,UTS:INSEARCH,International,18.04
2014,4381,4381-2015,"International College of Management, Sydney",International,55.17
2014,4383,4383-2015,Holmesglen Institute of TAFE,International,31.19
2014,4384,4384-2015,Kaplan Business School,International,30.69
2014,4385,4385-2015,Polytechnic West,International,31.52
2014,4386,4386-2015,Macleay College,International,33.33
2014,4387,4387-2015,Raffles College of Design and Commerce,International,12.18
2014,4388,4388-2015,Australian Academy of Music and Performing Arts,International,50
