code_year,prv,provider_name,ref_year,type,TEQSA_type,ownership,profit,affiliation,affil_status,eftsl_sum,primary_bfoe,primary_bfoe_prop,bfoe_entropy,bfoe_gini_impurity,postgrad_prop,int_prop,sessional_prop,senior_prop,ssr_all,ssr_salaried,success_dom,success_int,success_all,attrition_dom,attrition_int,attrition_all
3045-2013,PRV12110,University of Tasmania,2013,university,university,public,not_for_profit,non_aligned,current,15644.753,health,0.267,2.919,0.842,0.147,0.148,0.149,0.177,12.611,14.811,84.17,87.07,84.6,27.15,4.837,27.15
3016-2013,PRV12060,University of Technology Sydney,2013,university,university,public,not_for_profit,ATN,current,24435.688,mge_com,0.327,2.86,0.828,0.233,0.241,0.272,0.214,18.065,24.802,90.96,88.51,90.37,9.89,7.25,9.19
3043-2013,PRV12082,University of the Sunshine Coast,2013,university,university,public,not_for_profit,RUN,current,6427.688,health,0.296,2.804,0.827,0.078,0.081,0.297,0.153,17.169,24.407,85.49,89.86,85.84,21.21,10.87,20.47
1058-2013,PRV12062,University of Wollongong,2013,university,university,public,not_for_profit,non_aligned,current,16476.834,mge_com,0.225,2.898,0.853,0.178,0.192,0.21,0.246,13.592,17.196,89.81,85.62,89.0,10.98,7.26,10.08
3007-2013,PRV12152,Victoria University,2013,university,university,public,not_for_profit,non_aligned,current,15163.042,mge_com,0.22,2.577,0.808,0.107,0.153,0.26,0.159,18.369,24.821,80.33,85.4,81.1,19.84,12.24,19.0
3004-2013,PRV12061,Western Sydney University,2013,university,university,public,not_for_profit,IRU,current,29799.812,soc_cult,0.287,2.777,0.821,0.112,0.084,0.293,0.194,20.987,29.697,82.51,83.87,82.63,12.47,16.62,12.69
3006-2014,PRV12008,Australian Catholic University Limited,2014,university,university,public,not_for_profit,non_aligned,current,20766.625,health,0.422,1.917,0.685,0.131,0.093,0.376,0.16,19.206,30.758,88.81,89.76,88.9,14.64,16.8,14.86
3033-2014,PRV12002,Australian National University,2014,university,university,public,not_for_profit,Go8,current,13269.875,soc_cult,0.505,2.144,0.677,0.367,0.291,0.133,0.286,7.194,8.294,93.02,94.6,93.49,10.58,2.98,8.89
3003-2014,PRV12072,Bond University Limited,2014,university,university,private,not_for_profit,non_aligned,current,4755.083,soc_cult,0.379,2.29,0.75,0.307,0.295,0.345,0.308,13.265,20.246,77.07,91.1,81.23,11.75,7.1,10.3
4374-2014,PRV12095,Carnegie Mellon University,2014,university,university,private,not_for_profit,non_aligned,current,83.933,info_tech,0.602,0.97,0.479,1.0,0.988,0.175,0.344,0.312,0.378,100.0,98.84,98.85,0.0,0.98,0.97
2200-2014,PRV12073,Central Queensland University,2014,university,university,public,not_for_profit,RUN,current,11174.225,mge_com,0.311,2.708,0.806,0.281,0.302,0.242,0.164,20.137,26.564,83.3,84.19,83.57,26.1,11.95,22.17
3001-2014,PRV12069,Charles Darwin University,2014,university,university,public,not_for_profit,IRU,current,5382.375,health,0.244,2.666,0.814,0.226,0.216,0.222,0.138,14.818,19.051,84.2,77.24,82.68,26.8,17.68,25.46
3005-2014,PRV12018,Charles Sturt University,2014,university,university,public,not_for_profit,RUN,current,19610.906,health,0.23,2.701,0.826,0.221,0.126,0.187,0.139,17.359,21.345,85.24,82.84,84.93,20.98,12.03,19.98
2236-2014,PRV12158,Curtin University,2014,university,university,public,not_for_profit,ATN,current,26823.375,mge_com,0.235,2.783,0.834,0.137,0.191,0.24,0.204,14.653,19.276,86.67,86.22,86.58,15.04,8.9,13.86
3030-2014,PRV12124,Deakin University,2014,university,university,public,not_for_profit,non_aligned,current,33950.756,soc_cult,0.236,2.837,0.832,0.179,0.161,0.225,0.178,17.599,22.695,84.58,82.78,84.29,15.42,8.55,14.38
2235-2014,PRV12160,Edith Cowan University,2014,university,university,public,not_for_profit,non_aligned,current,15685.979,health,0.234,2.823,0.84,0.173,0.145,0.281,0.158,23.804,33.099,83.75,81.21,83.38,21.28,11.64,19.98
2154-2014,PRV12151,Federation University Australia,2014,university,university,public,not_for_profit,RUN,current,8585.615,mge_com,0.297,2.655,0.813,0.323,0.42,0.294,0.13,15.655,22.176,86.2,75.91,81.84,24.84,23.37,24.16
3029-2014,PRV12097,Flinders University,2014,university,university,public,not_for_profit,IRU,current,14585.167,health,0.324,2.548,0.791,0.229,0.112,0.241,0.227,12.645,16.661,86.77,92.96,87.46,16.62,7.14,15.76
3032-2014,PRV12076,Griffith University,2014,university,university,public,not_for_profit,IRU,current,30355.803,mge_com,0.24,2.894,0.844,0.143,0.164,0.257,0.242,16.439,22.119,86.23,88.33,86.58,15.62,7.41,14.1
1019-2014,PRV12077,James Cook University,2014,university,university,public,not_for_profit,IRU,current,12389.292,health,0.363,2.622,0.791,0.169,0.181,0.163,0.228,13.55,16.195,85.72,80.2,84.73,20.12,22.39,20.58
3020-2014,PRV12132,La Trobe University,2014,university,university,public,not_for_profit,IRU,current,25592.292,health,0.271,2.645,0.807,0.164,0.189,0.247,0.153,17.276,22.948,89.1,85.12,88.34,12.4,12.33,12.38
3025-2014,PRV12032,Macquarie University,2014,university,university,public,not_for_profit,IRU,former,26594.414,soc_cult,0.464,2.21,0.697,0.177,0.224,0.279,0.225,17.82,24.722,86.79,84.25,86.22,11.09,6.54,10.19
3035-2014,PRV12140,Monash University,2014,university,university,public,not_for_profit,Go8,current,41004.438,mge_com,0.254,2.808,0.833,0.203,0.238,0.18,0.228,13.28,16.186,91.73,91.29,91.63,9.98,4.77,8.8
1034-2014,PRV12163,Murdoch University,2014,university,university,public,not_for_profit,IRU,current,9926.062,soc_cult,0.317,2.756,0.82,0.118,0.141,0.234,0.2,13.908,18.154,82.47,86.06,82.98,21.43,12.61,20.29
3042-2014,PRV12079,Queensland University of Technology,2014,university,university,public,not_for_profit,ATN,former,32669.375,mge_com,0.232,2.996,0.861,0.155,0.157,0.31,0.208,15.503,22.476,87.95,88.04,87.97,12.63,9.98,12.16
3034-2014,PRV12145,Royal Melbourne Institute of Technology,2014,university,university,public,not_for_profit,ATN,current,32339.873,mge_com,0.242,3.01,0.857,0.182,0.24,0.324,0.186,18.868,27.907,88.35,89.31,88.58,12.23,8.47,11.32
3038-2014,PRV12043,Southern Cross University,2014,university,university,public,not_for_profit,RUN,current,7925.938,mge_com,0.247,2.665,0.819,0.113,0.11,0.296,0.148,17.107,24.31,79.4,74.69,78.88,25.81,19.59,25.3
2177-2014,PRV12148,Swinburne University of Technology,2014,university,university,public,not_for_profit,non_aligned,current,18404.875,mge_com,0.272,2.748,0.829,0.148,0.171,0.372,0.16,16.395,26.121,80.38,85.04,81.17,26.95,10.68,24.8
3010-2014,PRV12105,The University of Adelaide,2014,university,university,public,not_for_profit,Go8,current,18764.0,soc_cult,0.212,2.915,0.847,0.165,0.232,0.14,0.238,10.511,12.226,87.98,90.94,88.67,11.62,4.42,9.91
3036-2014,PRV12150,The University of Melbourne,2014,university,university,public,not_for_profit,Go8,current,38693.311,nat_phys_sci,0.221,2.917,0.843,0.445,0.303,0.161,0.249,10.285,12.26,95.04,94.95,95.01,6.58,3.23,5.73
3044-2014,PRV12170,The University of Notre Dame Australia,2014,university,university,private,not_for_profit,non_aligned,current,8248.302,health,0.364,2.078,0.728,0.073,0.014,0.217,0.247,21.718,27.725,91.83,92.81,91.85,12.17,8.51,12.12
3019-2014,PRV12080,The University of Queensland,2014,university,university,public,not_for_profit,Go8,current,36001.125,health,0.23,2.855,0.837,0.145,0.217,0.146,0.221,10.663,12.486,89.64,93.42,90.46,11.44,4.17,9.71
3040-2014,PRV12057,The University of Sydney,2014,university,university,public,not_for_profit,Go8,current,38964.917,soc_cult,0.235,2.831,0.835,0.266,0.247,0.214,0.269,11.121,14.157,92.06,90.95,91.78,8.83,4.51,7.73
