ref_year,provider_code,code_year,provider_name,success_rate
2015,3032,3032-2015,Griffith University,86.81
2015,3033,3033-2015,The Australian National University,93.71
2015,3034,3034-2015,RMIT University,89.73
2015,3035,3035-2015,Monash University,91.75
2015,3036,3036-2015,The University of Melbourne,94.94
2015,3038,3038-2015,Southern Cross University,78.24
2015,3039,3039-2015,The University of New England,80.17
2015,3040,3040-2015,The University of Sydney,91.24
2015,3042,3042-2015,Queensland University of Technology,88.9
2015,3043,3043-2015,University of the Sunshine Coast,86.15
2015,3044,3044-2015,The University of Notre Dame Australia,91.91
2015,3045,3045-2015,University of Tasmania,84.2
2015,4331,4331-2015,University of Divinity,92.94
2015,4332,4332-2015,Sydney College of Divinity,92.2
2015,4333,4333-2015,Christian Heritage College,83.95
2015,4334,4334-2015,Tabor Adelaide,88.47
2015,4335,4335-2015,Australian College of Theology,89.87
2015,4336,4336-2015,Australian College of Applied Psychology,81.65
2015,4337,4337-2015,Eastern College Australia,88.88
2015,4338,4338-2015,Moore Theological College,98.03
2015,4339,4339-2015,Holmes Institute,64.57
2015,4340,4340-2015,Monash College,80.07
2015,4341,4341-2015,Harvest Bible College,77.98
2015,4343,4343-2015,Australian Institute of Music,79.89
2015,4344,4344-2015,South Aust Institute of Business & Technology,63.53
2015,4346,4346-2015,Excelsia College,93.03
2015,4347,4347-2015,Tabor College NSW,93.13
2015,4348,4348-2015,Deakin College,63.76
2015,4349,4349-2015,Sydney Institute of Business and Technology,71.4
2015,4350,4350-2015,Queensland Institute of Business and Technology,74.1
2015,4352,4352-2015,The Australian College of Physical Education,79.86
2015,4355,4355-2015,Adelaide College of Divinity,80.31
2015,4357,4357-2015,Blue Mountains Intl Hotel Management School,88.71
2015,4359,4359-2015,The College of Law,93.22
2015,4360,4360-2015,Perth Bible College,71.29
2015,4361,4361-2015,Endeavour College of Natural Health,81.34
2015,4362,4362-2015,International College of Hotel Management,84.92
2015,4363,4363-2015,Northern Melbourne Institute of TAFE,84.49
2015,4364,4364-2015,Edith Cowan College,65.42
2015,4365,4365-2015,Curtin College,74.4
2015,4366,4366-2015,Box Hill Institute,83.96
2015,4367,4367-2015,Melbourne Institute of Technology,72.89
2015,4368,4368-2015,Campion College,95.53
2015,4370,4370-2015,Tabor College Tasmania,75
2015,4371,4371-2015,SAE Creative Media Institute,80.2
2015,4374,4374-2015,Carnegie Mellon University Australia,98.29
2015,4375,4375-2015,Think: Colleges Pty Ltd,79.2
2015,4377,4377-2015,UOW College,70.03
2015,4378,4378-2015,JMC Academy,85.02
2015,4380,4380-2015,UTS:INSEARCH,81.49
2015,4381,4381-2015,"International College of Management, Sydney",85.82
2015,4382,4382-2015,Australian Guild of Music Education Inc.,83.44
2015,4383,4383-2015,Holmesglen Institute of TAFE,79.54
2015,4384,4384-2015,Kaplan Business School,68.49
2015,4385,4385-2015,Polytechnic West,77.54
2015,4386,4386-2015,Macleay College,64.71
2015,4387,4387-2015,Raffles College of Design and Commerce,83.09
2015,4388,4388-2015,Australian Academy of Music and Performing Arts,89.07
2015,4389,4389-2015,Cairnmillar Institute School,98.15
2015,4391,4391-2015,Eynesbury,69.52
2015,4392,4392-2015,Gestalt Therapy Brisbane,90.97
2015,4394,4394-2015,William Angliss Institute of TAFE,80.44
2015,4395,4395-2015,Adelaide Central School of Art,95.57
2015,4396,4396-2015,LCI Melbourne,91.8
2015,4401,4401-2015,Whitehouse Institute of Design; Australia,93.16
2015,4402,4402-2015,Leo Cussen Institute,99.77
2015,4405,4405-2015,Australian Institute of Professional Counsellors,79.86
2015,4406,4406-2015,Canberra Institute of Technology,79.19
2015,4407,4407-2015,Alphacrucis College,84.72
2015,4409,4409-2015,Universal Business School Sydney (UBSS),57.91
2015,4410,4410-2015,Australian Institute of Management SA Division Inc,87.86
2015,4411,4411-2015,Stotts Colleges,60.89
2015,4412,4412-2015,Morling College,95.77
2015,4413,4413-2015,University College London,98.46
2015,4415,4415-2015,Top Education Institute,82.67
2015,4417,4417-2015,La Trobe Melbourne,78.9
2015,4418,4418-2015,Australian School of Management,85.34
2015,4419,4419-2015,National Art School,93.08
2015,4420,4420-2015,Kent Institute Australia,69.79
2015,4421,4421-2015,Le Cordon Bleu Australia,87.28
2015,4423,4423-2015,Tabor College Perth,92.86
2015,4424,4424-2015,Kaplan Higher Education,81.38
2015,4425,4425-2015,Australian Institute of Business,80.72
2015,4426,4426-2015,John Paul ll Institute for Marriage and Family,100
2015,4428,4428-2015,Nan Tien Institute,91.1
2015,4450,4450-2015,TAFE Queensland,77.29
2015,4453,4453-2015,Australasian College of Health and Wellness,68.1
2015,4458,4458-2015,Australian Institute of Management Education & Training,80
2015,5555,5555-2015,Torrens University Australia,78.2
2015,7001,7001-2015,Collarts,81.92
2015,7007,7007-2015,Paramount College of Natural Medicine,73.77
2015,7014,7014-2015,Jazz Music Institute,89.56
2015,7067,7067-2015,West Coast Institute of Training,45.67
2015,7072,7072-2015,Central Institute of Technology,92.86
2015,7073,7073-2015,Chisholm Institute,82.91
2015,7075,7075-2015,TAFE NSW,86.29
2015,7116,7116-2015,Study Group Australia Pty Ltd,72.29
2015,7124,7124-2015,Academy of Information Technology,40.42
2015,7125,7125-2015,Phoenix Institute of Australia Pty Ltd,100
2015,7252,7252-2015,AIPE,63.28
2015,7338,7338-2015,TAFE SA,82.96
2016,1019,1019-2016,James Cook University,85.19
2016,1034,1034-2016,Murdoch University,84.2
2016,1055,1055-2016,The University of Western Australia,90.83
2016,1058,1058-2016,University of Wollongong,88
2016,2148,2148-2016,The National Institute of Dramatic Art,98.39
2016,2154,2154-2016,Federation University Australia,83.33
2016,2170,2170-2016,Marcus Oldham College,98.61
2016,2177,2177-2016,Swinburne University of Technology,83.87
2016,2200,2200-2016,CQUniversity,83.74
2016,2201,2201-2016,University of Southern Queensland,78.61
2016,2235,2235-2016,Edith Cowan University,83.01
2016,2236,2236-2016,Curtin University,86.22
2016,2241,2241-2016,University of Canberra,83.25
2016,2252,2252-2016,Avondale College of Higher Education,88.45
2016,2271,2271-2016,"Australian Film, Television and Radio School",97.51
2016,3001,3001-2016,Charles Darwin University,81.64
2016,3003,3003-2016,Bond University,90.53
2016,3004,3004-2016,Western Sydney University,81.79
2016,3005,3005-2016,Charles Sturt University,84.07
2016,3006,3006-2016,Australian Catholic University,89.64
2016,3007,3007-2016,Victoria University,81.28
2016,3010,3010-2016,The University of Adelaide,89.65
2016,3013,3013-2016,University of New South Wales,92.83
2016,3014,3014-2016,The University of Newcastle,87.97
2016,3016,3016-2016,University of Technology Sydney,91.54
2016,3019,3019-2016,The University of Queensland,90.76
2016,3020,3020-2016,La Trobe University,88.45
2016,3025,3025-2016,Macquarie University,84.66
2016,3027,3027-2016,University of South Australia,88.66
2016,3029,3029-2016,Flinders University,87.39
2016,3030,3030-2016,Deakin University,84.69
2016,3032,3032-2016,Griffith University,86.39
2016,3033,3033-2016,The Australian National University,93.79
2016,3034,3034-2016,RMIT University,90.86
2016,3035,3035-2016,Monash University,91.99
2016,3036,3036-2016,The University of Melbourne,94.52
2016,3038,3038-2016,Southern Cross University,77.98
2016,3039,3039-2016,The University of New England,80.68
2016,3040,3040-2016,The University of Sydney,91.77
2016,3042,3042-2016,Queensland University of Technology,89.21
2016,3043,3043-2016,University of the Sunshine Coast,86.3
2016,3044,3044-2016,The University of Notre Dame Australia,93.17
2016,3045,3045-2016,University of Tasmania,86.88
2016,4331,4331-2016,University of Divinity,91.59
2016,4332,4332-2016,Sydney College of Divinity,92.38
2016,4333,4333-2016,Christian Heritage College,84.85
2016,4334,4334-2016,Tabor Adelaide,87.42
2016,4335,4335-2016,Australian College of Theology,91.51
2016,4336,4336-2016,Australian College of Applied Psychology,80.49
2016,4337,4337-2016,Eastern College Australia,87.06
2016,4338,4338-2016,Moore Theological College,95.96
2016,4339,4339-2016,Holmes Institute,66.16
2016,4340,4340-2016,Monash College,80.92
2016,4341,4341-2016,Harvest Bible College,78.16
2016,4343,4343-2016,Australian Institute of Music,79.8
2016,4344,4344-2016,South Aust Institute of Business & Technology,65.65
2016,4346,4346-2016,Excelsia College,91.88
2016,4347,4347-2016,Tabor College NSW,94.96
2016,4348,4348-2016,Deakin College,63.04
2016,4349,4349-2016,Sydney Institute of Business and Technology,73.78
2016,4350,4350-2016,Queensland Institute of Business and Technology,76.33
2016,4352,4352-2016,The Australian College of Physical Education,77.58
2016,4355,4355-2016,Adelaide College of Divinity,91.16
2016,4357,4357-2016,Blue Mountains Intl Hotel Management School,85.56
2016,4359,4359-2016,The College of Law,97.39
2016,4360,4360-2016,Perth Bible College,84.67
2016,4361,4361-2016,Endeavour College of Natural Health,78.6
2016,4362,4362-2016,International College of Hotel Management,86.45
2016,4363,4363-2016,Northern Melbourne Institute of TAFE,86.77
2016,4364,4364-2016,Edith Cowan College,66.36
2016,4365,4365-2016,Curtin College,73.91
2016,4366,4366-2016,Box Hill Institute,85.08
2016,4367,4367-2016,Melbourne Institute of Technology,77.66
2016,4368,4368-2016,Campion College,96.09
2016,4371,4371-2016,SAE Creative Media Institute,82.32
2016,4374,4374-2016,Carnegie Mellon University Australia,99.24
2016,4375,4375-2016,Think: Colleges Pty Ltd,80.37
2016,4377,4377-2016,UOW College,90.4
2016,4378,4378-2016,JMC Academy,84.74
2016,4380,4380-2016,UTS:INSEARCH,84.95
2016,4381,4381-2016,"International College of Management, Sydney",84.61
2016,4382,4382-2016,Australian Guild of Music Education Inc.,100
2016,4383,4383-2016,Holmesglen Institute of TAFE,82.05
2016,4384,4384-2016,Kaplan Business School,75.61
2016,4385,4385-2016,Polytechnic West,83.56
2016,4386,4386-2016,Macleay College,81.97
2016,4387,4387-2016,Raffles College of Design and Commerce,81.81
2016,4388,4388-2016,Australian Academy of Music and Performing Arts,88.61
2016,4389,4389-2016,Cairnmillar Institute School,97.27
2016,4391,4391-2016,Eynesbury,73.48
2016,4392,4392-2016,Gestalt Therapy Brisbane,93.29
2016,4393,4393-2016,MIECAT,98.96
2016,4394,4394-2016,William Angliss Institute of TAFE,84.59
2016,4395,4395-2016,Adelaide Central School of Art,93.72
2016,4396,4396-2016,LCI Melbourne,88.45
2016,4401,4401-2016,Whitehouse Institute of Design; Australia,93.66
2016,4402,4402-2016,Leo Cussen Institute,100
2016,4405,4405-2016,Australian Institute of Professional Counsellors,85.15
2016,4406,4406-2016,Canberra Institute of Technology,83.7
2016,4407,4407-2016,Alphacrucis College,74.45
2016,4409,4409-2016,Universal Business School Sydney (UBSS),56.27
2016,4411,4411-2016,Stotts Colleges,52.51
2016,4412,4412-2016,Morling College,93.05
2016,4413,4413-2016,University College London,100
2016,4415,4415-2016,Top Education Institute,79.28
2016,4417,4417-2016,La Trobe Melbourne,75.93
2016,4418,4418-2016,Australian School of Management,72.58
2016,4419,4419-2016,National Art School,91.23
2016,4420,4420-2016,Kent Institute Australia,76.45
2016,4421,4421-2016,Le Cordon Bleu Australia,90.97
2016,4424,4424-2016,Kaplan Higher Education,84.8
2016,4425,4425-2016,Australian Institute of Business,83.87
2016,4426,4426-2016,John Paul ll Institute for Marriage and Family,100
2016,4428,4428-2016,Nan Tien Institute,93.06
2016,4450,4450-2016,TAFE Queensland,77.14
2016,4453,4453-2016,Australasian College of Health and Wellness,68.91
2016,4455,4455-2016,S P Jain School of Global Management,100
2016,4458,4458-2016,Australian Institute of Management Education & Training,89.4
2016,4468,4468-2016,South Metropolitan TAFE,75.78
2016,5555,5555-2016,Torrens University Australia,83.96
2016,6043,6043-2016,The Cairnmillar Institute,99.53
2016,7001,7001-2016,Collarts,79.04
2016,7007,7007-2016,Paramount College of Natural Medicine,80.03
2016,7014,7014-2016,Jazz Music Institute,89.93
2016,7035,7035-2016,Photography Studies College (Melbourne),92.37
2016,7041,7041-2016,Sydney Institute of Traditional Chinese Medicine,95.85
2016,7067,7067-2016,West Coast Institute of Training,0
2016,7072,7072-2016,Central Institute of Technology,85.35
2016,7073,7073-2016,Chisholm Institute,76.68
2016,7075,7075-2016,TAFE NSW,85.52
2016,7116,7116-2016,Study Group Australia Pty Ltd,79.85
2016,7124,7124-2016,Academy of Information Technology,82.8
2016,7221,7221-2016,VIT (Victorian Institute of Technology),66.48
2016,7338,7338-2016,TAFE SA,87.29
2016,8071,8071-2016,North Metropolitan TAFE,88.87
2017,1019,1019-2017,James Cook University,86.04
2017,1034,1034-2017,Murdoch University,84.01
2017,1055,1055-2017,The University of Western Australia,90.25
2017,1058,1058-2017,University of Wollongong,88.04
2017,2148,2148-2017,The National Institute of Dramatic Art,97.93
2017,2154,2154-2017,Federation University Australia,84.94
2017,2170,2170-2017,Marcus Oldham College,98.49
2017,2177,2177-2017,Swinburne University of Technology,83.55
2017,2200,2200-2017,CQUniversity,84.02
2017,2201,2201-2017,University of Southern Queensland,78.09
2017,2235,2235-2017,Edith Cowan University,83.92
2017,2236,2236-2017,Curtin University,85.8
2017,2241,2241-2017,University of Canberra,83.41
2017,2252,2252-2017,Avondale College of Higher Education,87.99
2017,2271,2271-2017,"Australian Film, Television and Radio School",96.63
2017,3001,3001-2017,Charles Darwin University,83.36
2017,3003,3003-2017,Bond University,93.58
2017,3004,3004-2017,Western Sydney University,82.85
2017,3005,3005-2017,Charles Sturt University,84.06
2017,3006,3006-2017,Australian Catholic University,90.55
2017,3007,3007-2017,Victoria University,82.73
2017,3010,3010-2017,The University of Adelaide,90.54
2017,3013,3013-2017,University of New South Wales,93.3
2017,3014,3014-2017,The University of Newcastle,88.22
2017,3016,3016-2017,University of Technology Sydney,91.3
2017,3019,3019-2017,The University of Queensland,91.26
2017,3020,3020-2017,La Trobe University,88.57
2017,3025,3025-2017,Macquarie University,84.52
2017,3027,3027-2017,University of South Australia,88.92
2017,3029,3029-2017,Flinders University,87.81
2017,3030,3030-2017,Deakin University,85.83
2017,3032,3032-2017,Griffith University,85.66
2017,3033,3033-2017,The Australian National University,93.67
2017,3034,3034-2017,RMIT University,90.85
2017,3035,3035-2017,Monash University,92.42
2017,3036,3036-2017,The University of Melbourne,94.13
2017,3038,3038-2017,Southern Cross University,79.59
2017,3039,3039-2017,The University of New England,77.47
2017,3040,3040-2017,The University of Sydney,92.25
2017,3042,3042-2017,Queensland University of Technology,89.27
2017,3043,3043-2017,University of the Sunshine Coast,85.29
2017,3044,3044-2017,The University of Notre Dame Australia,94.4
2017,3045,3045-2017,University of Tasmania,85.99
2017,4331,4331-2017,University of Divinity,90.68
2017,4332,4332-2017,Sydney College of Divinity,90.23
2017,4333,4333-2017,Christian Heritage College,86.94
2017,4334,4334-2017,Tabor Adelaide,90.84
2017,4335,4335-2017,Australian College of Theology,92.64
2017,4336,4336-2017,Australian College of Applied Psychology,80.12
2017,4337,4337-2017,Eastern College Australia,89.69
2017,4338,4338-2017,Moore Theological College,99.6
2017,4339,4339-2017,Holmes Institute,68.25
2017,4340,4340-2017,Monash College,81.89
2017,4341,4341-2017,Harvest Bible College,80.08
2017,4343,4343-2017,Australian Institute of Music,82.26
2017,4344,4344-2017,South Aust Institute of Business & Technology,67.06
2017,4346,4346-2017,Excelsia College,88.74
2017,4347,4347-2017,Tabor College NSW,89.26
2017,4348,4348-2017,Deakin College,64.42
2017,4349,4349-2017,Sydney Institute of Business and Technology,76.85
2017,4350,4350-2017,Queensland Institute of Business and Technology,73.84
2017,4352,4352-2017,The Australian College of Physical Education,78.06
2017,4355,4355-2017,Adelaide College of Divinity,84.11
2017,4359,4359-2017,The College of Law,96.77
2017,4360,4360-2017,Perth Bible College,80.53
2017,4361,4361-2017,Endeavour College of Natural Health,78.74
2017,4362,4362-2017,International College of Hotel Management,86.59
2017,4363,4363-2017,Northern Melbourne Institute of TAFE,87.52
2017,4364,4364-2017,Edith Cowan College,61.45
2017,4365,4365-2017,Curtin College,74.58
2017,4366,4366-2017,Box Hill Institute,83.85
2017,4367,4367-2017,Melbourne Institute of Technology,85.58
2017,4368,4368-2017,Campion College,93.25
2017,4371,4371-2017,SAE Creative Media Institute,81.22
2017,4374,4374-2017,Carnegie Mellon University Australia,98.55
2017,4375,4375-2017,Think: Colleges Pty Ltd,79.54
2017,4377,4377-2017,UOW College,73.54
2017,4378,4378-2017,JMC Academy,85.61
2017,4380,4380-2017,UTS:INSEARCH,84.37
2017,4381,4381-2017,"International College of Management, Sydney",85.31
2017,4382,4382-2017,Australian Guild of Music Education Inc.,73.95
2017,4383,4383-2017,Holmesglen Institute of TAFE,81.75
2017,4384,4384-2017,Kaplan Business School,82.95
2017,4386,4386-2017,Macleay College,86.57
2017,4387,4387-2017,Raffles College of Design and Commerce,89.97
2017,4388,4388-2017,Australian Academy of Music and Performing Arts,86.9
2017,4391,4391-2017,Eynesbury,70.66
2017,4392,4392-2017,Gestalt Therapy Brisbane,96.78
2017,4393,4393-2017,MIECAT,98.89
2017,4394,4394-2017,William Angliss Institute of TAFE,85.42
2017,4395,4395-2017,Adelaide Central School of Art,93.87
2017,4396,4396-2017,LCI Melbourne,84.68
2017,4401,4401-2017,Whitehouse Institute of Design; Australia,90
2017,4402,4402-2017,Leo Cussen Institute,99.77
2017,4405,4405-2017,Australian Institute of Professional Counsellors,80.2
2017,4406,4406-2017,Canberra Institute of Technology,79.8
2017,4407,4407-2017,Alphacrucis College,81.44
2017,4409,4409-2017,Universal Business School Sydney (UBSS),60.29
2017,4411,4411-2017,Stotts Colleges,58.53
2017,4412,4412-2017,Morling College,95.46
2017,4415,4415-2017,Top Education Institute,77.92
2017,4417,4417-2017,La Trobe Melbourne,74.99
2017,4419,4419-2017,National Art School,92.12
2017,4420,4420-2017,Kent Institute Australia,79.18
2017,4421,4421-2017,Le Cordon Bleu Australia,88.86
2017,4424,4424-2017,Kaplan Higher Education,85.73
2017,4425,4425-2017,Australian Institute of Business,83.33
2017,4426,4426-2017,John Paul ll Institute for Marriage and Family,82.02
2017,4428,4428-2017,Nan Tien Institute,89.12
2017,4434,4434-2017,Wentworth Institute,92.89
2017,4450,4450-2017,TAFE Queensland,82.18
2017,4453,4453-2017,Australasian College of Health and Wellness,100
2017,4455,4455-2017,S P Jain School of Global Management,96.18
2017,4458,4458-2017,Australian Institute of Management Education & Training,87.64
2017,4464,4464-2017,Australian College of Nursing Ltd,90.71
2017,4468,4468-2017,South Metropolitan TAFE,79.32
2017,5555,5555-2017,Torrens University Australia,76.37
2017,6043,6043-2017,The Cairnmillar Institute,98.37
2017,6044,6044-2017,The Australian Institute of Theological Education,89.75
2017,7001,7001-2017,Collarts,79.04
2017,7007,7007-2017,Paramount College of Natural Medicine,88.38
2017,7014,7014-2017,Jazz Music Institute,93.38
2017,7035,7035-2017,Photography Studies College (Melbourne),90.91
2017,7041,7041-2017,Sydney Institute of Traditional Chinese Medicine,89.53
2017,7073,7073-2017,Chisholm Institute,75.1
2017,7075,7075-2017,TAFE NSW,82.81
2017,7116,7116-2017,Study Group Australia Pty Ltd,66.46
2017,7124,7124-2017,Academy of Information Technology,78.23
2017,7197,7197-2017,Ikon Institute of Australia,76.66
2017,7221,7221-2017,VIT (Victorian Institute of Technology),76
2017,7338,7338-2017,TAFE SA,73.3
2017,8071,8071-2017,North Metropolitan TAFE,88.22
