ref_year,provider_code,code_year,provider_name,success_rate
2012,4362,4362-2012,International College of Hotel Management,91.31
2012,4363,4363-2012,Northern Melbourne Institute of TAFE,81.73
2012,4364,4364-2012,Edith Cowan College,72.12
2012,4365,4365-2012,Curtin College,78.71
2012,4366,4366-2012,Box Hill Institute,87.88
2012,4367,4367-2012,Melbourne Institute of Technology,74.7
2012,4368,4368-2012,Campion College,88.25
2012,4370,4370-2012,Tabor College Tasmania,100
2012,4371,4371-2012,SAE Creative Media Institute,72.16
2012,4373,4373-2012,Jansen Newman Institute Pty. Limited,94.44
2012,4374,4374-2012,Carnegie Mellon University Australia,99.27
2012,4375,4375-2012,Think: Colleges Pty Ltd,81.69
2012,4377,4377-2012,UOW College,73.83
2012,4378,4378-2012,JMC Academy,83.19
2012,4380,4380-2012,UTS:INSEARCH,83.29
2012,4381,4381-2012,"International College of Management, Sydney",78.4
2012,4382,4382-2012,Australian Guild of Music Education Inc.,46.84
2012,4383,4383-2012,Holmesglen Institute of TAFE,81.15
2012,4384,4384-2012,Kaplan Business School,69.81
2012,4385,4385-2012,Polytechnic West,78.53
2012,4386,4386-2012,Macleay College,80.9
2012,4387,4387-2012,Raffles College of Design and Commerce,100
2012,4388,4388-2012,Australian Academy of Music and Performing Arts,78.21
2012,4389,4389-2012,Cairnmillar Institute School,96.75
2012,4391,4391-2012,Eynesbury,76.67
2012,4392,4392-2012,Gestalt Therapy Brisbane,96.42
2012,4393,4393-2012,MIECAT,97.53
2012,4394,4394-2012,William Angliss Institute of TAFE,85.54
2012,4395,4395-2012,Adelaide Central School of Art,94.1
2012,4396,4396-2012,LCI Melbourne,91.77
2012,4401,4401-2012,Whitehouse Institute of Design; Australia,95.32
2012,4402,4402-2012,Leo Cussen Institute,99.71
2012,4403,4403-2012,Harvest West Bible College Inc,79.12
2012,4404,4404-2012,Carrick Higher Education,76.8
2012,4405,4405-2012,Australian Institute of Professional Counsellors,72.37
2012,4406,4406-2012,Canberra Institute of Technology,80.77
2012,4407,4407-2012,Alphacrucis College,87.82
2012,4408,4408-2012,TAFE Queensland t/a TAFE Queensland - Brisbane,79.09
2012,4409,4409-2012,Universal Business School Sydney (UBSS),76.9
2012,4410,4410-2012,Australian Institute of Management SA Division Inc,98.18
2012,4411,4411-2012,Stotts Colleges,63.16
2012,4412,4412-2012,Morling College,93.12
2012,4413,4413-2012,University College London,100
2012,4415,4415-2012,Top Education Institute,72.63
2012,4417,4417-2012,La Trobe Melbourne,60.42
2012,4418,4418-2012,Australian School of Management,82.35
2012,7001,7001-2012,Collarts,87.01
2012,7014,7014-2012,Jazz Music Institute,92.16
2012,7073,7073-2012,Chisholm Institute,81.62
2012,7075,7075-2012,TAFE NSW,98.67
2012,7116,7116-2012,Study Group Australia Pty Ltd,83.31
2012,7124,7124-2012,Academy of Information Technology,100
2013,1019,1019-2013,James Cook University,85.51
2013,1034,1034-2013,Murdoch University,80.72
2013,1055,1055-2013,The University of Western Australia,90.83
2013,1058,1058-2013,University of Wollongong,89
2013,2148,2148-2013,The National Institute of Dramatic Art,99.39
2013,2154,2154-2013,Federation University Australia,82.63
2013,2170,2170-2013,Marcus Oldham College,100
2013,2177,2177-2013,Swinburne University of Technology,79.74
2013,2200,2200-2013,CQUniversity,83.24
2013,2201,2201-2013,University of Southern Queensland,79.77
2013,2235,2235-2013,Edith Cowan University,83.72
2013,2236,2236-2013,Curtin University,86.42
2013,2241,2241-2013,University of Canberra,83.33
2013,2252,2252-2013,Avondale College of Higher Education,91.37
2013,2271,2271-2013,"Australian Film, Television and Radio School",99.76
2013,3001,3001-2013,Charles Darwin University,82.08
2013,3003,3003-2013,Bond University,80.18
2013,3004,3004-2013,Western Sydney University,82.63
2013,3005,3005-2013,Charles Sturt University,84.64
2013,3006,3006-2013,Australian Catholic University,89.1
2013,3007,3007-2013,Victoria University,81.1
2013,3010,3010-2013,The University of Adelaide,87.93
2013,3013,3013-2013,University of New South Wales,93.05
