provider_code,code_year,provider_name,attrition_rate
4336,4336-2014,Australian College of Applied Psychology,36.74
4337,4337-2014,Eastern College Australia,21.48
4338,4338-2014,Moore Theological College,14.57
4339,4339-2014,Holmes Institute,32.41
4340,4340-2014,Monash College,12.43
4341,4341-2014,Harvest Bible College,30.89
4343,4343-2014,Australian Institute of Music,24.83
4344,4344-2014,South Aust Institute of Business & Technology,25.66
4346,4346-2014,Excelsia College,21.93
4347,4347-2014,Tabor College NSW,23.08
4348,4348-2014,Deakin College,20.45
4349,4349-2014,Sydney Institute of Business and Technology,12.54
4350,4350-2014,Queensland Institute of Business and Technology,21.96
4351,4351-2014,Navitas College of Public Safety Pty Ltd,32.87
4352,4352-2014,The Australian College of Physical Education,29.23
4355,4355-2014,Adelaide College of Divinity,48.39
4357,4357-2014,Blue Mountains Intl Hotel Management School,11.26
4359,4359-2014,The College of Law,9.38
4360,4360-2014,Perth Bible College,48.08
4361,4361-2014,Endeavour College of Natural Health,31.7
4362,4362-2014,International College of Hotel Management,10.61
4363,4363-2014,Northern Melbourne Institute of TAFE,31.81
4364,4364-2014,Edith Cowan College,19.31
4365,4365-2014,Curtin College,19.42
4366,4366-2014,Box Hill Institute,28.32
4367,4367-2014,Melbourne Institute of Technology,24.85
4368,4368-2014,Campion College,21.21
4370,4370-2014,Tabor College Tasmania,48.28
4371,4371-2014,SAE Creative Media Institute,29.33
4374,4374-2014,Carnegie Mellon University Australia,0.97
4375,4375-2014,Think: Colleges Pty Ltd,33.04
4377,4377-2014,UOW College,34.69
4378,4378-2014,JMC Academy,26.93
4380,4380-2014,UTS:INSEARCH,17.59
4381,4381-2014,"International College of Management, Sydney",20.41
4382,4382-2014,Australian Guild of Music Education Inc.,33.33
4383,4383-2014,Holmesglen Institute of TAFE,37.59
4384,4384-2014,Kaplan Business School,30.32
4385,4385-2014,Polytechnic West,29.05
4386,4386-2014,Macleay College,26.59
4387,4387-2014,Raffles College of Design and Commerce,17.77
4388,4388-2014,Australian Academy of Music and Performing Arts,16.67
4389,4389-2014,Cairnmillar Institute School,8.16
4391,4391-2014,Eynesbury,19.77
4392,4392-2014,Gestalt Therapy Brisbane,7.69
4393,4393-2014,MIECAT,13.11
4394,4394-2014,William Angliss Institute of TAFE,15.9
4395,4395-2014,Adelaide Central School of Art,23.81
4396,4396-2014,LCI Melbourne,23.42
4401,4401-2014,Whitehouse Institute of Design; Australia,17.65
4402,4402-2014,Leo Cussen Institute,16.38
4403,4403-2014,Harvest West Bible College Inc,24.24
4405,4405-2014,Australian Institute of Professional Counsellors,49.22
4406,4406-2014,Canberra Institute of Technology,37.21
4407,4407-2014,Alphacrucis College,27.27
4408,4408-2014,TAFE Queensland t/a TAFE Queensland - Brisbane,44.88
4409,4409-2014,Universal Business School Sydney (UBSS),34.48
4410,4410-2014,Australian Institute of Management SA Division Inc,13.73
4411,4411-2014,Stotts Colleges,39.78
4412,4412-2014,Morling College,38.66
4413,4413-2014,University College London,9.09
4414,4414-2014,Chifley Business School,14.14
4415,4415-2014,Top Education Institute,33.2
4417,4417-2014,La Trobe Melbourne,34.85
4418,4418-2014,Australian School of Management,8.82
4419,4419-2014,National Art School,14.11
4420,4420-2014,Kent Institute Australia,29.49
4421,4421-2014,Le Cordon Bleu Australia,9.94
4423,4423-2014,Tabor College Perth,39.13
4424,4424-2014,Kaplan Higher Education,35.32
4425,4425-2014,Australian Institute of Business,8.38
