provider_code,code_year,provider_name,citizenship,attrition_rate
4346,4346-2013,Excelsia College,Domestic,15.76
4347,4347-2013,Tabor College NSW,Domestic,27.27
4348,4348-2013,Deakin College,Domestic,28.8
4349,4349-2013,Sydney Institute of Business and Technology,Domestic,10.84
4350,4350-2013,Queensland Institute of Business and Technology,Domestic,25.33
4351,4351-2013,Navitas College of Public Safety Pty Ltd,Domestic,36.26
4352,4352-2013,The Australian College of Physical Education,Domestic,32.87
4355,4355-2013,Adelaide College of Divinity,Domestic,34.21
4357,4357-2013,Blue Mountains Intl Hotel Management School,Domestic,13.21
4359,4359-2013,The College of Law,Domestic,12.79
4360,4360-2013,Perth Bible College,Domestic,50
4361,4361-2013,Endeavour College of Natural Health,Domestic,26.16
4362,4362-2013,International College of Hotel Management,Domestic,13.83
4363,4363-2013,Northern Melbourne Institute of TAFE,Domestic,25.94
4364,4364-2013,Edith Cowan College,Domestic,35.48
4365,4365-2013,Curtin College,Domestic,18.02
4366,4366-2013,Box Hill Institute,Domestic,20.44
4367,4367-2013,Melbourne Institute of Technology,Domestic,20.4
4368,4368-2013,Campion College,Domestic,14.29
4370,4370-2013,Tabor College Tasmania,Domestic,35.71
4371,4371-2013,SAE Creative Media Institute,Domestic,29.24
4375,4375-2013,Think: Colleges Pty Ltd,Domestic,33.81
4377,4377-2013,UOW College,Domestic,6.67
4378,4378-2013,JMC Academy,Domestic,28.28
4380,4380-2013,UTS:INSEARCH,Domestic,14.97
4381,4381-2013,"International College of Management, Sydney",Domestic,21.11
4382,4382-2013,Australian Guild of Music Education Inc.,Domestic,50
4383,4383-2013,Holmesglen Institute of TAFE,Domestic,31.09
4384,4384-2013,Kaplan Business School,Domestic,25.81
4385,4385-2013,Polytechnic West,Domestic,42.47
4386,4386-2013,Macleay College,Domestic,24.39
4387,4387-2013,Raffles College of Design and Commerce,Domestic,12.5
4388,4388-2013,Australian Academy of Music and Performing Arts,Domestic,16.67
4389,4389-2013,Cairnmillar Institute School,Domestic,8.26
4391,4391-2013,Eynesbury,Domestic,16.67
4392,4392-2013,Gestalt Therapy Brisbane,Domestic,5.26
4393,4393-2013,MIECAT,Domestic,10.17
4394,4394-2013,William Angliss Institute of TAFE,Domestic,22.76
4395,4395-2013,Adelaide Central School of Art,Domestic,26
4396,4396-2013,LCI Melbourne,Domestic,17.44
4401,4401-2013,Whitehouse Institute of Design; Australia,Domestic,15.63
4402,4402-2013,Leo Cussen Institute,Domestic,2.78
4403,4403-2013,Harvest West Bible College Inc,Domestic,46.43
4404,4404-2013,Carrick Higher Education,Domestic,29.69
4405,4405-2013,Australian Institute of Professional Counsellors,Domestic,37.08
4406,4406-2013,Canberra Institute of Technology,Domestic,49.21
4407,4407-2013,Alphacrucis College,Domestic,24.08
4408,4408-2013,TAFE Queensland t/a TAFE Queensland - Brisbane,Domestic,20
4410,4410-2013,Australian Institute of Management SA Division Inc,Domestic,25.45
4411,4411-2013,Stotts Colleges,Domestic,28.57
4412,4412-2013,Morling College,Domestic,45.22
4413,4413-2013,University College London,Domestic,25
4414,4414-2013,Chifley Business School,Domestic,35.29
4415,4415-2013,Top Education Institute,Domestic,9.09
4417,4417-2013,La Trobe Melbourne,Domestic,30.77
4418,4418-2013,Australian School of Management,Domestic,10
7001,7001-2013,Collarts,Domestic,12.5
7014,7014-2013,Jazz Music Institute,Domestic,12.5
7073,7073-2013,Chisholm Institute,Domestic,26.58
7075,7075-2013,TAFE NSW,Domestic,24.92
7116,7116-2013,Study Group Australia Pty Ltd,Domestic,100
7124,7124-2013,Academy of Information Technology,Domestic,24.32
7125,7125-2013,Phoenix Institute of Australia Pty Ltd,Domestic,32
1019,1019-2014,James Cook University,Domestic,20.12
1034,1034-2014,Murdoch University,Domestic,21.43
1055,1055-2014,The University of Western Australia,Domestic,9.08
1058,1058-2014,University of Wollongong,Domestic,11.69
2148,2148-2014,The National Institute of Dramatic Art,Domestic,4.23
2154,2154-2014,Federation University Australia,Domestic,24.84
2170,2170-2014,Marcus Oldham College,Domestic,2.44
2177,2177-2014,Swinburne University of Technology,Domestic,26.95
2200,2200-2014,CQUniversity,Domestic,26.1
2201,2201-2014,University of Southern Queensland,Domestic,26.3
2235,2235-2014,Edith Cowan University,Domestic,21.28
2236,2236-2014,Curtin University,Domestic,15.04
2241,2241-2014,University of Canberra,Domestic,16.78
2252,2252-2014,Avondale College of Higher Education,Domestic,17.41
2271,2271-2014,"Australian Film, Television and Radio School",Domestic,4.25
3001,3001-2014,Charles Darwin University,Domestic,26.8
3003,3003-2014,Bond University,Domestic,11.75
3004,3004-2014,Western Sydney University,Domestic,12.58
3005,3005-2014,Charles Sturt University,Domestic,20.98
3006,3006-2014,Australian Catholic University,Domestic,14.64
3007,3007-2014,Victoria University,Domestic,21.54
3010,3010-2014,The University of Adelaide,Domestic,11.62
3013,3013-2014,University of New South Wales,Domestic,9.17
3014,3014-2014,The University of Newcastle,Domestic,16.2
3016,3016-2014,University of Technology Sydney,Domestic,9.99
3019,3019-2014,The University of Queensland,Domestic,11.44
3020,3020-2014,La Trobe University,Domestic,12.4
3025,3025-2014,Macquarie University,Domestic,11.09
3027,3027-2014,University of South Australia,Domestic,19.08
3029,3029-2014,Flinders University,Domestic,16.62
3030,3030-2014,Deakin University,Domestic,15.42
3032,3032-2014,Griffith University,Domestic,15.62
3033,3033-2014,The Australian National University,Domestic,10.58
3034,3034-2014,RMIT University,Domestic,12.23
3035,3035-2014,Monash University,Domestic,9.98
3036,3036-2014,The University of Melbourne,Domestic,6.58
3038,3038-2014,Southern Cross University,Domestic,25.81
3039,3039-2014,The University of New England,Domestic,22.69
3040,3040-2014,The University of Sydney,Domestic,8.83
3042,3042-2014,Queensland University of Technology,Domestic,12.63
3043,3043-2014,University of the Sunshine Coast,Domestic,21.8
3044,3044-2014,The University of Notre Dame Australia,Domestic,12.17
3045,3045-2014,University of Tasmania,Domestic,31.32
4331,4331-2014,University of Divinity,Domestic,22.06
4332,4332-2014,Sydney College of Divinity,Domestic,20
4333,4333-2014,Christian Heritage College,Domestic,24.07
4334,4334-2014,Tabor Adelaide,Domestic,29.77
4335,4335-2014,Australian College of Theology,Domestic,26.02
