ref_year,provider_code,code_year,provider_name,citizenship,success_rate
2012,3045,3045-2012,University of Tasmania,Domestic,87.35
2012,4331,4331-2012,University of Divinity,Domestic,90.67
2012,4332,4332-2012,Sydney College of Divinity,Domestic,88.46
2012,4333,4333-2012,Christian Heritage College,Domestic,81.11
2012,4334,4334-2012,Tabor Adelaide,Domestic,88.42
2012,4335,4335-2012,Australian College of Theology,Domestic,91.81
2012,4336,4336-2012,Australian College of Applied Psychology,Domestic,76.52
2012,4337,4337-2012,Eastern College Australia,Domestic,82.24
2012,4338,4338-2012,Moore Theological College,Domestic,96.75
2012,4339,4339-2012,Holmes Institute,Domestic,52.62
2012,4340,4340-2012,Monash College,Domestic,85.42
2012,4341,4341-2012,Harvest Bible College,Domestic,77.38
2012,4342,4342-2012,Australian Lutheran College,Domestic,96.54
2012,4343,4343-2012,Australian Institute of Music,Domestic,100
2012,4344,4344-2012,South Aust Institute of Business & Technology,Domestic,60.32
2012,4346,4346-2012,Excelsia College,Domestic,91.33
2012,4347,4347-2012,Tabor College NSW,Domestic,83.38
2012,4348,4348-2012,Deakin College,Domestic,67.37
2012,4349,4349-2012,Sydney Institute of Business and Technology,Domestic,68.61
2012,4350,4350-2012,Queensland Institute of Business and Technology,Domestic,65.73
2012,4351,4351-2012,Navitas College of Public Safety Pty Ltd,Domestic,71.02
2012,4352,4352-2012,The Australian College of Physical Education,Domestic,81.94
2012,4355,4355-2012,Adelaide College of Divinity,Domestic,87.77
2012,4357,4357-2012,Blue Mountains Intl Hotel Management School,Domestic,93.59
2012,4359,4359-2012,The College of Law,Domestic,99.37
2012,4360,4360-2012,Perth Bible College,Domestic,72.54
2012,4361,4361-2012,Endeavour College of Natural Health,Domestic,80.65
2012,4362,4362-2012,International College of Hotel Management,Domestic,92.17
2012,4363,4363-2012,Northern Melbourne Institute of TAFE,Domestic,83.03
2012,4364,4364-2012,Edith Cowan College,Domestic,65.48
2012,4365,4365-2012,Curtin College,Domestic,74.32
2012,4366,4366-2012,Box Hill Institute,Domestic,88.77
2012,4367,4367-2012,Melbourne Institute of Technology,Domestic,64.78
2012,4368,4368-2012,Campion College,Domestic,88.82
2012,4370,4370-2012,Tabor College Tasmania,Domestic,100
2012,4371,4371-2012,SAE Creative Media Institute,Domestic,72.11
2012,4373,4373-2012,Jansen Newman Institute Pty. Limited,Domestic,94.44
2012,4374,4374-2012,Carnegie Mellon University Australia,Domestic,100
2012,4375,4375-2012,Think: Colleges Pty Ltd,Domestic,80.72
2012,4377,4377-2012,UOW College,Domestic,66.67
2012,4378,4378-2012,JMC Academy,Domestic,82.87
2012,4380,4380-2012,UTS:INSEARCH,Domestic,79.45
2012,4381,4381-2012,"International College of Management, Sydney",Domestic,75.1
2012,4382,4382-2012,Australian Guild of Music Education Inc.,Domestic,46.84
2012,4383,4383-2012,Holmesglen Institute of TAFE,Domestic,83.84
2012,4384,4384-2012,Kaplan Business School,Domestic,75.55
2012,4385,4385-2012,Polytechnic West,Domestic,78.33
2012,4386,4386-2012,Macleay College,Domestic,81.03
2012,4387,4387-2012,Raffles College of Design and Commerce,Domestic,100
2012,4388,4388-2012,Australian Academy of Music and Performing Arts,Domestic,75.8
2012,4389,4389-2012,Cairnmillar Institute School,Domestic,97.16
2012,4391,4391-2012,Eynesbury,Domestic,73.33
2012,4392,4392-2012,Gestalt Therapy Brisbane,Domestic,96.42
2012,4393,4393-2012,MIECAT,Domestic,97.5
2012,4394,4394-2012,William Angliss Institute of TAFE,Domestic,86.54
2012,4395,4395-2012,Adelaide Central School of Art,Domestic,94.1
2012,4396,4396-2012,LCI Melbourne,Domestic,92.12
2012,4401,4401-2012,Whitehouse Institute of Design; Australia,Domestic,95.31
2012,4402,4402-2012,Leo Cussen Institute,Domestic,100
2012,4403,4403-2012,Harvest West Bible College Inc,Domestic,77.78
2012,4404,4404-2012,Carrick Higher Education,Domestic,76.8
2012,4405,4405-2012,Australian Institute of Professional Counsellors,Domestic,72.37
2012,4406,4406-2012,Canberra Institute of Technology,Domestic,80.91
2012,4407,4407-2012,Alphacrucis College,Domestic,85.88
2012,4408,4408-2012,TAFE Queensland t/a TAFE Queensland - Brisbane,Domestic,78.63
2012,4409,4409-2012,Universal Business School Sydney (UBSS),Domestic,66.67
2012,4410,4410-2012,Australian Institute of Management SA Division Inc,Domestic,98.18
2012,4411,4411-2012,Stotts Colleges,Domestic,78.57
2012,4412,4412-2012,Morling College,Domestic,93.67
2012,4413,4413-2012,University College London,Domestic,100
2012,4415,4415-2012,Top Education Institute,Domestic,75.61
2012,4417,4417-2012,La Trobe Melbourne,Domestic,56.72
2012,4418,4418-2012,Australian School of Management,Domestic,82.35
2012,7001,7001-2012,Collarts,Domestic,87.01
2012,7014,7014-2012,Jazz Music Institute,Domestic,91.82
2012,7073,7073-2012,Chisholm Institute,Domestic,81.62
2012,7075,7075-2012,TAFE NSW,Domestic,98.51
2012,7116,7116-2012,Study Group Australia Pty Ltd,Domestic,0
2012,7124,7124-2012,Academy of Information Technology,Domestic,100
2013,1019,1019-2013,James Cook University,Domestic,86.03
2013,1034,1034-2013,Murdoch University,Domestic,79.92
2013,1055,1055-2013,The University of Western Australia,Domestic,90.67
2013,1058,1058-2013,University of Wollongong,Domestic,89.81
2013,2148,2148-2013,The National Institute of Dramatic Art,Domestic,99.38
2013,2154,2154-2013,Federation University Australia,Domestic,87.08
2013,2170,2170-2013,Marcus Oldham College,Domestic,100
2013,2177,2177-2013,Swinburne University of Technology,Domestic,78.56
2013,2200,2200-2013,CQUniversity,Domestic,83.37
2013,2201,2201-2013,University of Southern Queensland,Domestic,78.61
2013,2235,2235-2013,Edith Cowan University,Domestic,83.82
2013,2236,2236-2013,Curtin University,Domestic,86.27
2013,2241,2241-2013,University of Canberra,Domestic,83.36
2013,2252,2252-2013,Avondale College of Higher Education,Domestic,91.51
2013,2271,2271-2013,"Australian Film, Television and Radio School",Domestic,99.76
2013,3001,3001-2013,Charles Darwin University,Domestic,82.15
2013,3003,3003-2013,Bond University,Domestic,76.9
2013,3004,3004-2013,Western Sydney University,Domestic,82.51
2013,3005,3005-2013,Charles Sturt University,Domestic,84.91
2013,3006,3006-2013,Australian Catholic University,Domestic,89.2
2013,3007,3007-2013,Victoria University,Domestic,80.33
2013,3010,3010-2013,The University of Adelaide,Domestic,86.95
2013,3013,3013-2013,University of New South Wales,Domestic,93.13
2013,3014,3014-2013,The University of Newcastle,Domestic,86.45
2013,3016,3016-2013,University of Technology Sydney,Domestic,90.96
2013,3019,3019-2013,The University of Queensland,Domestic,89.52
2013,3020,3020-2013,La Trobe University,Domestic,88.81
2013,3025,3025-2013,Macquarie University,Domestic,87.25
2013,3027,3027-2013,University of South Australia,Domestic,87.99
2013,3029,3029-2013,Flinders University,Domestic,86.39
2013,3030,3030-2013,Deakin University,Domestic,84.54
2013,3032,3032-2013,Griffith University,Domestic,86.66
2013,3033,3033-2013,The Australian National University,Domestic,92.86
2013,3034,3034-2013,RMIT University,Domestic,87.51
2013,3035,3035-2013,Monash University,Domestic,91.07
2013,3036,3036-2013,The University of Melbourne,Domestic,94.65
2013,3038,3038-2013,Southern Cross University,Domestic,77.78
2013,3039,3039-2013,The University of New England,Domestic,80.16
2013,3040,3040-2013,The University of Sydney,Domestic,91.51
2013,3042,3042-2013,Queensland University of Technology,Domestic,87.74
2013,3043,3043-2013,University of the Sunshine Coast,Domestic,85.49
2013,3044,3044-2013,The University of Notre Dame Australia,Domestic,90.96
2013,3045,3045-2013,University of Tasmania,Domestic,84.17
2013,4331,4331-2013,University of Divinity,Domestic,93.1
2013,4333,4333-2013,Christian Heritage College,Domestic,81.08
2013,4334,4334-2013,Tabor Adelaide,Domestic,84.6
2013,4335,4335-2013,Australian College of Theology,Domestic,91.67
2013,4336,4336-2013,Australian College of Applied Psychology,Domestic,77.27
2013,4337,4337-2013,Eastern College Australia,Domestic,90.53
2013,4338,4338-2013,Moore Theological College,Domestic,96.01
2013,4339,4339-2013,Holmes Institute,Domestic,55.96
2013,4340,4340-2013,Monash College,Domestic,75.89
2013,4341,4341-2013,Harvest Bible College,Domestic,74.65
2013,4343,4343-2013,Australian Institute of Music,Domestic,100
2013,4344,4344-2013,South Aust Institute of Business & Technology,Domestic,61.19
2013,4346,4346-2013,Excelsia College,Domestic,91.94
2013,4347,4347-2013,Tabor College NSW,Domestic,89.81
2013,4348,4348-2013,Deakin College,Domestic,67.93
2013,4349,4349-2013,Sydney Institute of Business and Technology,Domestic,67.35
2013,4350,4350-2013,Queensland Institute of Business and Technology,Domestic,60.16
2013,4351,4351-2013,Navitas College of Public Safety Pty Ltd,Domestic,69.25
2013,4352,4352-2013,The Australian College of Physical Education,Domestic,83.46
2013,4355,4355-2013,Adelaide College of Divinity,Domestic,89.76
2013,4357,4357-2013,Blue Mountains Intl Hotel Management School,Domestic,93.03
2013,4359,4359-2013,The College of Law,Domestic,98.82
2013,4360,4360-2013,Perth Bible College,Domestic,89.88
2013,4361,4361-2013,Endeavour College of Natural Health,Domestic,79.3
2013,4362,4362-2013,International College of Hotel Management,Domestic,88.81
2013,4363,4363-2013,Northern Melbourne Institute of TAFE,Domestic,85.25
2013,4364,4364-2013,Edith Cowan College,Domestic,62.97
2013,4365,4365-2013,Curtin College,Domestic,75.18
2013,4366,4366-2013,Box Hill Institute,Domestic,86.84
2013,4367,4367-2013,Melbourne Institute of Technology,Domestic,59.47
2013,4368,4368-2013,Campion College,Domestic,93.44
2013,4370,4370-2013,Tabor College Tasmania,Domestic,100
2013,4371,4371-2013,SAE Creative Media Institute,Domestic,68.12
2013,4373,4373-2013,Jansen Newman Institute Pty. Limited,Domestic,66.67
2013,4374,4374-2013,Carnegie Mellon University Australia,Domestic,97.75
2013,4375,4375-2013,Think: Colleges Pty Ltd,Domestic,80.36
2013,4377,4377-2013,UOW College,Domestic,79.14
2013,4378,4378-2013,JMC Academy,Domestic,82.88
2013,4380,4380-2013,UTS:INSEARCH,Domestic,75.87
2013,4381,4381-2013,"International College of Management, Sydney",Domestic,76.22
2013,4382,4382-2013,Australian Guild of Music Education Inc.,Domestic,67.08
2013,4383,4383-2013,Holmesglen Institute of TAFE,Domestic,83.48
2013,4384,4384-2013,Kaplan Business School,Domestic,49.93
2013,4385,4385-2013,Polytechnic West,Domestic,81.17
2013,4386,4386-2013,Macleay College,Domestic,76.04
2013,4387,4387-2013,Raffles College of Design and Commerce,Domestic,100
2013,4388,4388-2013,Australian Academy of Music and Performing Arts,Domestic,83.48
2013,4389,4389-2013,Cairnmillar Institute School,Domestic,96.43
2013,4391,4391-2013,Eynesbury,Domestic,75
2013,4393,4393-2013,MIECAT,Domestic,96.32
2013,4395,4395-2013,Adelaide Central School of Art,Domestic,97.6
2013,4396,4396-2013,LCI Melbourne,Domestic,90.44
2013,4401,4401-2013,Whitehouse Institute of Design; Australia,Domestic,93.5
2013,4402,4402-2013,Leo Cussen Institute,Domestic,99.38
2013,4405,4405-2013,Australian Institute of Professional Counsellors,Domestic,68.19
2013,4406,4406-2013,Canberra Institute of Technology,Domestic,83.11
2013,4407,4407-2013,Alphacrucis College,Domestic,85.69
2013,4408,4408-2013,TAFE Queensland t/a TAFE Queensland - Brisbane,Domestic,75.82
2013,4409,4409-2013,Universal Business School Sydney (UBSS),Domestic,0
2013,4410,4410-2013,Australian Institute of Management SA Division Inc,Domestic,96.98
2013,4411,4411-2013,Stotts Colleges,Domestic,78.95
2013,4412,4412-2013,Morling College,Domestic,96.38
2013,4413,4413-2013,University College London,Domestic,99.01
2013,4415,4415-2013,Top Education Institute,Domestic,70.29
2013,4417,4417-2013,La Trobe Melbourne,Domestic,62.43
2013,4418,4418-2013,Australian School of Management,Domestic,73.88
2013,4419,4419-2013,National Art School,Domestic,94.08
2013,4421,4421-2013,Le Cordon Bleu Australia,Domestic,84.65
2013,4423,4423-2013,Tabor College Perth,Domestic,94.22
2013,4424,4424-2013,Kaplan Higher Education,Domestic,87.55
2013,4425,4425-2013,Australian Institute of Business,Domestic,80.33
2013,4426,4426-2013,John Paul ll Institute for Marriage and Family,Domestic,84.62
2013,4427,4427-2013,Vose College,Domestic,77.78
2013,4428,4428-2013,Nan Tien Institute,Domestic,92.31
2013,4450,4450-2013,TAFE Queensland,Domestic,79.14
2013,7014,7014-2013,Jazz Music Institute,Domestic,93.16
2013,7035,7035-2013,Photography Studies College (Melbourne),Domestic,85.32
2013,7041,7041-2013,Sydney Institute of Traditional Chinese Medicine,Domestic,100
2013,7073,7073-2013,Chisholm Institute,Domestic,75.66
2013,7075,7075-2013,TAFE NSW,Domestic,97.63
2013,7116,7116-2013,Study Group Australia Pty Ltd,Domestic,0
2013,7124,7124-2013,Academy of Information Technology,Domestic,74.5
2013,7338,7338-2013,TAFE SA,Domestic,84.92
2014,1019,1019-2014,James Cook University,Domestic,85.72
2014,1034,1034-2014,Murdoch University,Domestic,82.47
2014,1055,1055-2014,The University of Western Australia,Domestic,91.66
2014,1058,1058-2014,University of Wollongong,Domestic,89.5
2014,2148,2148-2014,The National Institute of Dramatic Art,Domestic,96.03
2014,2154,2154-2014,Federation University Australia,Domestic,86.2
2014,2170,2170-2014,Marcus Oldham College,Domestic,99.54
2014,2177,2177-2014,Swinburne University of Technology,Domestic,80.38
2014,2200,2200-2014,CQUniversity,Domestic,83.3
2014,2201,2201-2014,University of Southern Queensland,Domestic,77.27
2014,2235,2235-2014,Edith Cowan University,Domestic,83.75
2014,2236,2236-2014,Curtin University,Domestic,86.67
2014,2241,2241-2014,University of Canberra,Domestic,83.14
2014,2252,2252-2014,Avondale College of Higher Education,Domestic,90.05
2014,2271,2271-2014,"Australian Film, Television and Radio School",Domestic,98.91
2014,3001,3001-2014,Charles Darwin University,Domestic,84.2
2014,3003,3003-2014,Bond University,Domestic,77.07
2014,3004,3004-2014,Western Sydney University,Domestic,82.3
2014,3005,3005-2014,Charles Sturt University,Domestic,85.24
2014,3006,3006-2014,Australian Catholic University,Domestic,88.81
2014,3007,3007-2014,Victoria University,Domestic,81.14
2014,3010,3010-2014,The University of Adelaide,Domestic,87.98
2014,3013,3013-2014,University of New South Wales,Domestic,93.35
2014,3014,3014-2014,The University of Newcastle,Domestic,87.31
2014,3016,3016-2014,University of Technology Sydney,Domestic,91.2
2014,3019,3019-2014,The University of Queensland,Domestic,89.64
2014,3020,3020-2014,La Trobe University,Domestic,89.1
2014,3025,3025-2014,Macquarie University,Domestic,86.79
2014,3027,3027-2014,University of South Australia,Domestic,88.16
2014,3029,3029-2014,Flinders University,Domestic,86.77
2014,3030,3030-2014,Deakin University,Domestic,84.58
2014,3032,3032-2014,Griffith University,Domestic,86.23
2014,3033,3033-2014,The Australian National University,Domestic,93.02
2014,3034,3034-2014,RMIT University,Domestic,88.35
2014,3035,3035-2014,Monash University,Domestic,91.73
2014,3036,3036-2014,The University of Melbourne,Domestic,95.04
2014,3038,3038-2014,Southern Cross University,Domestic,79.4
2014,3039,3039-2014,The University of New England,Domestic,79.96
2014,3040,3040-2014,The University of Sydney,Domestic,92.06
2014,3042,3042-2014,Queensland University of Technology,Domestic,87.95
2014,3043,3043-2014,University of the Sunshine Coast,Domestic,86.75
2014,3044,3044-2014,The University of Notre Dame Australia,Domestic,91.83
2014,3045,3045-2014,University of Tasmania,Domestic,84.23
2014,4331,4331-2014,University of Divinity,Domestic,94
2014,4332,4332-2014,Sydney College of Divinity,Domestic,90.26
2014,4333,4333-2014,Christian Heritage College,Domestic,82.11
2014,4334,4334-2014,Tabor Adelaide,Domestic,85.54
2014,4335,4335-2014,Australian College of Theology,Domestic,91.75
2014,4336,4336-2014,Australian College of Applied Psychology,Domestic,78.44
2014,4337,4337-2014,Eastern College Australia,Domestic,90.34
2014,4338,4338-2014,Moore Theological College,Domestic,96.73
2014,4339,4339-2014,Holmes Institute,Domestic,69.27
2014,4340,4340-2014,Monash College,Domestic,79
2014,4341,4341-2014,Harvest Bible College,Domestic,75.17
2014,4343,4343-2014,Australian Institute of Music,Domestic,80.98
2014,4344,4344-2014,South Aust Institute of Business & Technology,Domestic,57.43
2014,4346,4346-2014,Excelsia College,Domestic,91.41
2014,4347,4347-2014,Tabor College NSW,Domestic,90.74
2014,4348,4348-2014,Deakin College,Domestic,66.91
2014,4349,4349-2014,Sydney Institute of Business and Technology,Domestic,60.41
2014,4350,4350-2014,Queensland Institute of Business and Technology,Domestic,61.98
2014,4352,4352-2014,The Australian College of Physical Education,Domestic,83.13
2014,4355,4355-2014,Adelaide College of Divinity,Domestic,76.11
2014,4357,4357-2014,Blue Mountains Intl Hotel Management School,Domestic,90.99
2014,4359,4359-2014,The College of Law,Domestic,99.12
2014,4360,4360-2014,Perth Bible College,Domestic,84.8
2014,4361,4361-2014,Endeavour College of Natural Health,Domestic,80.11
2014,4362,4362-2014,International College of Hotel Management,Domestic,93.43
2014,4363,4363-2014,Northern Melbourne Institute of TAFE,Domestic,86.93
2014,4364,4364-2014,Edith Cowan College,Domestic,61.15
2014,4365,4365-2014,Curtin College,Domestic,75.35
2014,4366,4366-2014,Box Hill Institute,Domestic,82.77
2014,4367,4367-2014,Melbourne Institute of Technology,Domestic,64.05
2014,4368,4368-2014,Campion College,Domestic,95.2
2014,4370,4370-2014,Tabor College Tasmania,Domestic,83.71
2014,4371,4371-2014,SAE Creative Media Institute,Domestic,79.24
2014,4374,4374-2014,Carnegie Mellon University Australia,Domestic,100
2014,4375,4375-2014,Think: Colleges Pty Ltd,Domestic,79.91
2014,4377,4377-2014,UOW College,Domestic,67.02
2014,4378,4378-2014,JMC Academy,Domestic,84.45
2014,4380,4380-2014,UTS:INSEARCH,Domestic,76.6
2014,4381,4381-2014,"International College of Management, Sydney",Domestic,79.28
2014,4382,4382-2014,Australian Guild of Music Education Inc.,Domestic,71.68
