ref_year,provider_code,code_year,provider_name,citizenship,success_rate
2012,4351,4351-2012,Navitas College of Public Safety Pty Ltd,International,66.67
2012,4352,4352-2012,The Australian College of Physical Education,International,89.69
2012,4357,4357-2012,Blue Mountains Intl Hotel Management School,International,93.13
2012,4359,4359-2012,The College of Law,International,98.26
2012,4360,4360-2012,Perth Bible College,International,72.76
2012,4361,4361-2012,Endeavour College of Natural Health,International,86.52
2012,4362,4362-2012,International College of Hotel Management,International,90.8
2012,4363,4363-2012,Northern Melbourne Institute of TAFE,International,79.34
2012,4364,4364-2012,Edith Cowan College,International,72.8
2012,4365,4365-2012,Curtin College,International,79.88
2012,4366,4366-2012,Box Hill Institute,International,81.8
2012,4367,4367-2012,Melbourne Institute of Technology,International,78.93
2012,4368,4368-2012,Campion College,International,70
2012,4371,4371-2012,SAE Creative Media Institute,International,72.91
2012,4374,4374-2012,Carnegie Mellon University Australia,International,99.23
2012,4375,4375-2012,Think: Colleges Pty Ltd,International,89.04
2012,4377,4377-2012,UOW College,International,75.1
2012,4378,4378-2012,JMC Academy,International,90.84
2012,4380,4380-2012,UTS:INSEARCH,International,85.57
2012,4381,4381-2012,"International College of Management, Sydney",International,81.81
2012,4383,4383-2012,Holmesglen Institute of TAFE,International,77.8
2012,4384,4384-2012,Kaplan Business School,International,69.27
2012,4385,4385-2012,Polytechnic West,International,78.61
2012,4386,4386-2012,Macleay College,International,0
2012,4387,4387-2012,Raffles College of Design and Commerce,International,100
2012,4388,4388-2012,Australian Academy of Music and Performing Arts,International,87.95
2012,4389,4389-2012,Cairnmillar Institute School,International,82.46
2012,4391,4391-2012,Eynesbury,International,76.78
2012,4393,4393-2012,MIECAT,International,100
2012,4394,4394-2012,William Angliss Institute of TAFE,International,85.07
2012,4396,4396-2012,LCI Melbourne,International,84.62
2012,4401,4401-2012,Whitehouse Institute of Design; Australia,International,95.51
2012,4402,4402-2012,Leo Cussen Institute,International,96.88
2012,4403,4403-2012,Harvest West Bible College Inc,International,100
2012,4406,4406-2012,Canberra Institute of Technology,International,66.67
2012,4407,4407-2012,Alphacrucis College,International,92.12
2012,4408,4408-2012,TAFE Queensland t/a TAFE Queensland - Brisbane,International,81.85
2012,4409,4409-2012,Universal Business School Sydney (UBSS),International,76.94
2012,4411,4411-2012,Stotts Colleges,International,62.87
2012,4412,4412-2012,Morling College,International,90.83
2012,4413,4413-2012,University College London,International,100
2012,4415,4415-2012,Top Education Institute,International,72.55
2012,4417,4417-2012,La Trobe Melbourne,International,61.22
2012,7014,7014-2012,Jazz Music Institute,International,100
2012,7075,7075-2012,TAFE NSW,International,100
2012,7116,7116-2012,Study Group Australia Pty Ltd,International,83.72
2013,1019,1019-2013,James Cook University,International,82.82
2013,1034,1034-2013,Murdoch University,International,85.4
2013,1055,1055-2013,The University of Western Australia,International,91.73
2013,1058,1058-2013,University of Wollongong,International,85.62
2013,2148,2148-2013,The National Institute of Dramatic Art,International,100
2013,2154,2154-2013,Federation University Australia,International,76.81
2013,2177,2177-2013,Swinburne University of Technology,International,84.64
2013,2200,2200-2013,CQUniversity,International,82.93
2013,2201,2201-2013,University of Southern Queensland,International,84.25
2013,2235,2235-2013,Edith Cowan University,International,83.08
2013,2236,2236-2013,Curtin University,International,86.98
2013,2241,2241-2013,University of Canberra,International,83.19
2013,2252,2252-2013,Avondale College of Higher Education,International,89.04
2013,3001,3001-2013,Charles Darwin University,International,81.7
2013,3003,3003-2013,Bond University,International,88.6
2013,3004,3004-2013,Western Sydney University,International,83.87
2013,3005,3005-2013,Charles Sturt University,International,81.97
2013,3006,3006-2013,Australian Catholic University,International,88.16
2013,3007,3007-2013,Victoria University,International,85.4
2013,3010,3010-2013,The University of Adelaide,International,91.09
2013,3013,3013-2013,University of New South Wales,International,92.8
2013,3014,3014-2013,The University of Newcastle,International,85.31
2013,3016,3016-2013,University of Technology Sydney,International,88.51
2013,3019,3019-2013,The University of Queensland,International,92.64
2013,3020,3020-2013,La Trobe University,International,85.94
2013,3025,3025-2013,Macquarie University,International,84.9
2013,3027,3027-2013,University of South Australia,International,89.51
2013,3029,3029-2013,Flinders University,International,92.89
2013,3030,3030-2013,Deakin University,International,81.49
2013,3032,3032-2013,Griffith University,International,90.26
2013,3033,3033-2013,The Australian National University,International,93.9
2013,3034,3034-2013,RMIT University,International,89.31
2013,3035,3035-2013,Monash University,International,91.15
2013,3036,3036-2013,The University of Melbourne,International,94.82
2013,3038,3038-2013,Southern Cross University,International,82.51
2013,3039,3039-2013,The University of New England,International,84.95
2013,3040,3040-2013,The University of Sydney,International,91.17
2013,3042,3042-2013,Queensland University of Technology,International,88.88
2013,3043,3043-2013,University of the Sunshine Coast,International,89.86
2013,3044,3044-2013,The University of Notre Dame Australia,International,92.73
2013,3045,3045-2013,University of Tasmania,International,87.07
2013,4331,4331-2013,University of Divinity,International,97.66
2013,4333,4333-2013,Christian Heritage College,International,92.16
2013,4335,4335-2013,Australian College of Theology,International,87.82
2013,4336,4336-2013,Australian College of Applied Psychology,International,86.33
2013,4337,4337-2013,Eastern College Australia,International,92.28
2013,4338,4338-2013,Moore Theological College,International,88.82
2013,4339,4339-2013,Holmes Institute,International,66.57
2013,4340,4340-2013,Monash College,International,80.12
2013,4341,4341-2013,Harvest Bible College,International,94.01
2013,4343,4343-2013,Australian Institute of Music,International,100
2013,4344,4344-2013,South Aust Institute of Business & Technology,International,67.75
2013,4346,4346-2013,Excelsia College,International,93.88
2013,4348,4348-2013,Deakin College,International,62.47
2013,4349,4349-2013,Sydney Institute of Business and Technology,International,73.48
2013,4350,4350-2013,Queensland Institute of Business and Technology,International,72.7
2013,4351,4351-2013,Navitas College of Public Safety Pty Ltd,International,100
2013,4352,4352-2013,The Australian College of Physical Education,International,99.25
2013,4357,4357-2013,Blue Mountains Intl Hotel Management School,International,93.13
2013,4359,4359-2013,The College of Law,International,98.39
2013,4360,4360-2013,Perth Bible College,International,100
2013,4361,4361-2013,Endeavour College of Natural Health,International,85.37
2013,4362,4362-2013,International College of Hotel Management,International,89.63
2013,4363,4363-2013,Northern Melbourne Institute of TAFE,International,81.47
2013,4364,4364-2013,Edith Cowan College,International,68.08
2013,4365,4365-2013,Curtin College,International,80.82
2013,4366,4366-2013,Box Hill Institute,International,74.64
2013,4367,4367-2013,Melbourne Institute of Technology,International,76.33
2013,4368,4368-2013,Campion College,International,91.18
2013,4371,4371-2013,SAE Creative Media Institute,International,65.17
2013,4374,4374-2013,Carnegie Mellon University Australia,International,99.15
2013,4375,4375-2013,Think: Colleges Pty Ltd,International,89.61
2013,4377,4377-2013,UOW College,International,59.23
2013,4378,4378-2013,JMC Academy,International,89.96
2013,4380,4380-2013,UTS:INSEARCH,International,79.9
2013,4381,4381-2013,"International College of Management, Sydney",International,80.89
2013,4383,4383-2013,Holmesglen Institute of TAFE,International,74.63
2013,4384,4384-2013,Kaplan Business School,International,60.21
2013,4385,4385-2013,Polytechnic West,International,83.97
2013,4386,4386-2013,Macleay College,International,78.05
2013,4387,4387-2013,Raffles College of Design and Commerce,International,100
2013,4388,4388-2013,Australian Academy of Music and Performing Arts,International,92.65
2013,4391,4391-2013,Eynesbury,International,74.05
2013,4396,4396-2013,LCI Melbourne,International,96.83
2013,4401,4401-2013,Whitehouse Institute of Design; Australia,International,98.61
2013,4402,4402-2013,Leo Cussen Institute,International,100
2013,4407,4407-2013,Alphacrucis College,International,88.83
2013,4408,4408-2013,TAFE Queensland t/a TAFE Queensland - Brisbane,International,82.07
2013,4409,4409-2013,Universal Business School Sydney (UBSS),International,78.19
2013,4411,4411-2013,Stotts Colleges,International,67.94
2013,4412,4412-2013,Morling College,International,95.99
2013,4413,4413-2013,University College London,International,97.4
2013,4415,4415-2013,Top Education Institute,International,70.94
2013,4417,4417-2013,La Trobe Melbourne,International,63.17
2013,4418,4418-2013,Australian School of Management,International,86.54
2013,4419,4419-2013,National Art School,International,100
2013,4420,4420-2013,Kent Institute Australia,International,63.23
2013,4421,4421-2013,Le Cordon Bleu Australia,International,87.62
2013,4423,4423-2013,Tabor College Perth,International,89.47
2013,4424,4424-2013,Kaplan Higher Education,International,64.93
2013,4425,4425-2013,Australian Institute of Business,International,77.14
2013,4426,4426-2013,John Paul ll Institute for Marriage and Family,International,100
2013,4428,4428-2013,Nan Tien Institute,International,100
2013,4450,4450-2013,TAFE Queensland,International,90.94
2013,7014,7014-2013,Jazz Music Institute,International,100
2013,7075,7075-2013,TAFE NSW,International,99.16
2013,7116,7116-2013,Study Group Australia Pty Ltd,International,84.12
2013,7124,7124-2013,Academy of Information Technology,International,74.33
2013,7338,7338-2013,TAFE SA,International,78.13
2014,1019,1019-2014,James Cook University,International,80.2
2014,1034,1034-2014,Murdoch University,International,86.06
2014,1055,1055-2014,The University of Western Australia,International,91.53
2014,1058,1058-2014,University of Wollongong,International,85.09
2014,2148,2148-2014,The National Institute of Dramatic Art,International,100
2014,2154,2154-2014,Federation University Australia,International,75.91
2014,2177,2177-2014,Swinburne University of Technology,International,85.04
2014,2200,2200-2014,CQUniversity,International,84.19
2014,2201,2201-2014,University of Southern Queensland,International,82.21
2014,2235,2235-2014,Edith Cowan University,International,81.21
2014,2236,2236-2014,Curtin University,International,86.22
2014,2241,2241-2014,University of Canberra,International,78.21
