"","provider_name","provider_code","prv","affiliation","affil_status","profit","type","ownership","code_year","ref_year","success_all","success_dom","success_int","attrition_all","attrition_dom","attrition_int","all_fte","salaried_fte","senior_fte","senior_headcount","sessional_fte","sessional_prop","senior_prop","eftsl","int_prop","postgrad_prop","first_bfoe","first_bfoe_prop","bfoe_entropy","bfoe_gini_impurity","ssr_all","ssr_salaried"
"303","Edith Cowan College",4364,"PRV12166","NUHEP","current","for_profit","pathway","private","4364-2015",2015,65.42,58.33,65.86,24.19,33.33,23.21,NA,NA,NA,NA,NA,NA,NA,543,0.94,0,"mge_com",0.26852,2.45702164156172,0.804451367,NA,NA
"304","Curtin College",4365,"PRV12157","NUHEP","current","for_profit","pathway","private","4365-2015",2015,74.4,70.87,75.64,9.56,10.19,9.32,NA,NA,NA,NA,NA,NA,NA,800,0.74,0,"mge_com",0.34681,2.28236839380276,0.762426913,NA,NA
"305","Box Hill Institute",4366,"PRV12117","NUHEP","current","not_for_profit","TAFE","public","4366-2015",2015,83.96,84.49,80.08,28.28,26.52,37.7,NA,NA,NA,NA,NA,NA,NA,506,0.12,0.03,"creat_art",0.66539,1.64863765448898,0.5281799198,NA,NA
"306","Melbourne Institute of Technology",4367,"PRV12138","NUHEP","current","for_profit","for_profit","private","4367-2015",2015,72.89,65.08,76.61,25.31,28.21,23.94,NA,NA,NA,NA,NA,NA,NA,745,0.68,0.33,"mge_com",0.55508,1.25648427846794,0.5429030331,NA,NA
"307","Campion College",4368,"PRV12017","NUHEP","current","not_for_profit","faith_based","private","4368-2015",2015,95.53,95.43,100,7.32,7.32,NA,NA,NA,NA,NA,NA,NA,NA,87,0.02,0,"soc_cult",1,0,0,NA,NA
"308","SAE Creative Media Institute",4371,"PRV12042","NUHEP","current","for_profit","for_profit","private","4371-2015",2015,80.2,79.69,87.63,32.55,32.81,28.41,NA,NA,NA,NA,NA,NA,NA,2545,0.06,0,"creat_art",0.81941,0.68136604588159,0.2959545038,NA,NA
"309","Carnegie Mellon University Australia",4374,"PRV12095","non_aligned","current","not_for_profit","university","public","4374-2015",2015,98.29,100,98.22,0.95,0,0.96,NA,NA,NA,NA,NA,NA,NA,86,0.96,1,"info_tech",0.77499,0.769210671312432,0.3487609998,NA,NA
"310","Think: Colleges Pty Ltd",4375,"PRV12058","NUHEP","current","for_profit","for_profit","private","4375-2015",2015,79.2,79.19,100,37.89,34.68,93.46,NA,NA,NA,NA,NA,NA,NA,2570,0,0.02,"mge_com",0.29241,2.13474671391209,0.753790972,NA,NA
"311","UOW College",4377,"PRV12027","NUHEP","current","for_profit","pathway","private","4377-2015",2015,70.03,75,67.74,19.15,25,17.14,NA,NA,NA,NA,NA,NA,NA,114,0.68,0,"mge_com",0.87842,0.533885537934568,0.2135966072,NA,NA
"312","JMC Academy",4378,"PRV12029","NUHEP","current","for_profit","for_profit","private","4378-2015",2015,85.02,84.38,99.77,30.5,30.53,0,NA,NA,NA,NA,NA,NA,NA,2619,0.04,0,"creat_art",0.84483,0.622628415017857,0.2621845422,NA,NA
"313","UTS:INSEARCH",4380,"PRV12022","NUHEP","current","not_for_profit","pathway","private","4380-2015",2015,81.49,80.17,82.1,17.07,14.98,18.04,NA,NA,NA,NA,NA,NA,NA,2037,0.69,0,"mge_com",0.37596,2.10409117415701,0.7408479133,NA,NA
"314","International College of Management, Sydney",4381,"PRV12025","NUHEP","current","for_profit","for_profit","private","4381-2015",2015,85.82,84.03,88.56,24.33,22.37,55.17,NA,NA,NA,NA,NA,NA,NA,746,0.4,0.08,"mge_com",0.93242,0.356827089217756,0.1260258872,NA,NA
"315","Australian Guild of Music Education Inc.",4382,"PRV12114","NUHEP","current","not_for_profit","other","private","4382-2015",2015,83.44,83.44,NA,44.44,44.44,NA,NA,NA,NA,NA,NA,NA,NA,10,0,0,"creat_art",1,0,0,NA,NA
"316","Holmesglen Institute of TAFE",4383,"PRV12129","NUHEP","current","not_for_profit","TAFE","public","4383-2015",2015,79.54,87.13,73.51,28.89,26.67,31.19,NA,NA,NA,NA,NA,NA,NA,737,0.56,0.02,"mge_com",0.37304,2.01145779287141,0.7196356554,NA,NA
"317","Kaplan Business School",4384,"PRV12094","NUHEP","current","for_profit","for_profit","private","4384-2015",2015,68.49,62.81,68.94,31.63,42.53,30.69,NA,NA,NA,NA,NA,NA,NA,1640,0.93,0.47,"mge_com",1,0,0,NA,NA
"318","Macleay College",4386,"PRV12031","NUHEP","current","for_profit","for_profit","private","4386-2015",2015,64.71,50,100,3.41,2.93,33.33,NA,NA,NA,NA,NA,NA,NA,280,0.03,0,"mge_com",0.59584,0.973332083871003,0.4816293888,NA,NA
"319","Raffles College of Design and Commerce",4387,"PRV12039","NUHEP","current","for_profit","for_profit","private","4387-2015",2015,83.09,82.77,83.29,13.07,15.38,12.18,NA,NA,NA,NA,NA,NA,NA,531,0.61,0.25,"mge_com",0.45022,1.67021590746198,0.6437904586,NA,NA
"320","Australian Academy of Music and Performing Arts",4388,"PRV12026","NUHEP","current","not_for_profit","other","private","4388-2015",2015,89.07,88.96,92.78,25.42,23.64,50,NA,NA,NA,NA,NA,NA,NA,180,0.03,0.05,"creat_art",1,0,0,NA,NA
"321","Eynesbury",4391,"PRV12096","NUHEP","current","for_profit","for_profit","private","4391-2015",2015,69.52,63.16,69.6,19.12,20,19.1,NA,NA,NA,NA,NA,NA,NA,387,0.99,0,"mge_com",0.67862,1.20205947978582,0.4823219432,NA,NA
"322","Gestalt Therapy Brisbane",4392,"PRV12075","NUHEP","current","for_profit","for_profit","private","4392-2015",2015,90.97,90.97,NA,8,8,NA,NA,NA,NA,NA,NA,NA,NA,28,0,1,"soc_cult",1,0,0,NA,NA
"323","William Angliss Institute of TAFE",4394,"PRV12153","NUHEP","current","not_for_profit","TAFE","public","4394-2015",2015,80.44,83.61,78.92,16.87,23.75,13.5,NA,NA,NA,NA,NA,NA,NA,758,0.68,0,"mge_com",0.72902,0.842867362321048,0.3950996792,NA,NA
"324","Adelaide Central School of Art",4395,"PRV12087","NUHEP","current","not_for_profit","other","private","4395-2015",2015,95.57,95.57,NA,22.95,22.95,NA,NA,NA,NA,NA,NA,NA,NA,99,0,0,"creat_art",1,0,0,NA,NA
"325","LCI Melbourne",4396,"PRV12113","NUHEP","current","for_profit","for_profit","private","4396-2015",2015,91.8,91.61,100,24.39,23.46,100,NA,NA,NA,NA,NA,NA,NA,198,0.02,0,"creat_art",1,0,0,NA,NA
"326","Whitehouse Institute of Design; Australia",4401,"PRV12065","NUHEP","current","for_profit","for_profit","private","4401-2015",2015,93.16,93.42,86.6,18.18,17.96,22.22,NA,NA,NA,NA,NA,NA,NA,371,0.04,0.04,"creat_art",1,0,0,NA,NA
"327","Leo Cussen Institute",4402,"PRV12155","NUHEP","current","not_for_profit","other","private","4402-2015",2015,99.77,99.74,100,0,0,0,NA,NA,NA,NA,NA,NA,NA,431,0.11,1,"soc_cult",1,0,0,NA,NA
"328","Australian Institute of Professional Counsellors",4405,"PRV12083","NUHEP","current","for_profit","for_profit","private","4405-2015",2015,79.86,79.76,100,41.96,41.96,NA,NA,NA,NA,NA,NA,NA,NA,216,0,0.11,"soc_cult",1,0,0,NA,NA
"329","Canberra Institute of Technology",4406,"PRV12004","NUHEP","current","not_for_profit","TAFE","public","4406-2015",2015,79.19,79.47,66.67,18.18,18.87,0,NA,NA,NA,NA,NA,NA,NA,68,0.02,0,"info_tech",0.57038,0.985660094569597,0.4900933112,NA,NA
"330","Alphacrucis College",4407,"PRV12006","NUHEP","current","not_for_profit","faith_based","private","4407-2015",2015,84.72,81.76,90.65,28.9,28.99,0,NA,NA,NA,NA,NA,NA,NA,388,0.33,0.21,"soc_cult",0.92588,0.449232039169243,0.1396892191,NA,NA
"331","Universal Business School Sydney (UBSS)",4409,"PRV12021","NUHEP","current","for_profit","for_profit","private","4409-2015",2015,57.91,NA,57.91,41.47,NA,41.47,NA,NA,NA,NA,NA,NA,NA,483,1,0.18,"mge_com",1,0,0,NA,NA
"332","Stotts Colleges",4411,"PRV12146","NUHEP","current","for_profit","for_profit","private","4411-2015",2015,60.89,58.33,60.93,43.23,NA,43.23,NA,NA,NA,NA,NA,NA,NA,218,0.99,0,"mge_com",1,0,0,NA,NA
"333","Morling College",4412,"PRV12034","NUHEP","current","not_for_profit","faith_based","private","4412-2015",2015,95.77,96.53,86.76,39.6,39.39,50,NA,NA,NA,NA,NA,NA,NA,55,0.08,1,"education",0.62373,0.955364987361882,0.4693817742,NA,NA
"334","Top Education Institute",4415,"PRV12059","NUHEP","current","for_profit","for_profit","private","4415-2015",2015,82.67,60.38,83.02,12.09,18.18,12.01,NA,NA,NA,NA,NA,NA,NA,845,0.98,0.7,"mge_com",0.9997,0.00394356854814519,0.000599819999999967,NA,NA
"335","La Trobe Melbourne",4417,"PRV12186","NUHEP","current","for_profit","pathway","private","4417-2015",2015,78.9,80.17,78.24,22.6,17.33,25.22,NA,NA,NA,NA,NA,NA,NA,758,0.66,0,"mge_com",0.53554,1.68916665268101,0.6174779968,NA,NA
"336","National Art School",4419,"PRV12036","NUHEP","current","not_for_profit","other","private","4419-2015",2015,93.08,93.04,100,10.23,10.23,NA,NA,NA,NA,NA,NA,NA,NA,428,0.01,0,"creat_art",1,0,0,NA,NA
"337","Kent Institute Australia",4420,"PRV12051","NUHEP","current","for_profit","for_profit","private","4420-2015",2015,69.79,0,69.83,31.61,NA,31.61,NA,NA,NA,NA,NA,NA,NA,582,1,0,"mge_com",1,0,0,NA,NA
"338","Le Cordon Bleu Australia",4421,"PRV12100","NUHEP","current","for_profit","for_profit","private","4421-2015",2015,87.28,83.46,87.62,8.47,15.79,7.65,NA,NA,NA,NA,NA,NA,NA,432,0.92,0.24,"mge_com",1,0,0,NA,NA
"339","Kaplan Higher Education",4424,"PRV12030","NUHEP","current","for_profit","for_profit","private","4424-2015",2015,81.38,83.5,62.84,30.83,29.37,40.17,NA,NA,NA,NA,NA,NA,NA,757,0.1,0.89,"mge_com",0.96204,0.274146213130353,0.0737768264,NA,NA
"340","Australian Institute of Business",4425,"PRV12090","NUHEP","current","for_profit","for_profit","private","4425-2015",2015,80.72,80.64,81.61,19.08,19.2,12.12,NA,NA,NA,NA,NA,NA,NA,3197,0.08,1,"mge_com",1,0,0,NA,NA
"341","John Paul ll Institute for Marriage and Family",4426,"PRV12130","NUHEP","current","not_for_profit","faith_based","private","4426-2015",2015,100,100,100,11.11,11.32,0,NA,NA,NA,NA,NA,NA,NA,42,0.21,1,"soc_cult",1,0,0,NA,NA
"342","Nan Tien Institute",4428,"PRV12035","NUHEP","current","not_for_profit","faith_based","private","4428-2015",2015,91.1,88.6,100,29.73,28.13,40,NA,NA,NA,NA,NA,NA,NA,20,0.24,1,"soc_cult",0.53503,0.996456433029972,0.4975457982,NA,NA
"343","TAFE Queensland",4450,"PRV13003","NUHEP","current","not_for_profit","TAFE","public","4450-2015",2015,77.29,75.78,92.31,26.44,26.71,23.08,NA,NA,NA,NA,NA,NA,NA,231,0.09,0,"engineering",0.98055,0.138341217717006,0.038143395,NA,NA
